ulasan,kategori,clean
banyak promo menarik gratis ongkir. Terima kasih,Positif,banyak promo tarik gratis ongkir terima kasih
bagus n mantap blnja disini,Positif,bagus n mantap blnja sini
sangat membantu ..,Positif,sangat bantu
pelayanan baik memuaskan,Positif,layan baik muas
baik,Positif,baik
bagus,Positif,bagus
Good,Positif,good
terima kasih shopee,Positif,terima kasih shopee
lebih cepat lebih murah,Positif,lebih cepat lebih murah
i love shopee,Positif,i love shopee
ok,Positif,
shope ok,Positif,shope
nice,Positif,nice
puaas,Positif,puaas
mantap,Positif,mantap
bagus banget aku pernah dapat gratis ongkir,Positif,bagus banget aku pernah gratis ongkir
"udah bertahun2 bersama Shopee, Alkhamdulillah sangat puas. shopee terbaik 👍👍",Positif,udah tahun sama shopee alkhamdulillah sangat puas shopee baik
saya suka,Positif,suka
saya senang semua pesanan dan pelayanan sangat baikk saya kasih bintangg 5 dari segi mana pun,Positif,senang semua pesan layan sangat baikk kasih bintangg segi mana
good,Positif,good
semoga lebih banyak menarik dan vouchernya ya. apalagi kami yg sudah banyak kali berbelanja di shopi ini,Positif,moga lebih banyak tarik vouchernya yg banyak kali belanja shopi
kenpa tiba-tiba gak bisa COD tolong lahh eyke belanja sebulan sekali barang masuk lohh,Positif,kenpa tibatiba gak cod lahh eyke belanja bulan sekali barang masuk lohh
ok sajalah pokoknya,Positif,saja pokok
👍🏽👍🏽👍🏽,Positif,
mantap 👍👍,Positif,mantap
terima kasih atas pengiriman nya dengan baik.,Positif,terima kasih atas kirim nya baik
pengembalian tidak ribet. simpel.,Positif,kembali ribet simpel
bagus bagus buat duit saya habis tapi barang-barang nya baguss poll,Positif,bagus bagus buat duit habis barangbarang nya baguss poll
ok,Positif,
best pokoke,Positif,best pokoke
Intinya kecewa,Negatif,inti kecewa
tingkatkan,Positif,tingkat
"gimana sih , ibu saya gk punya apk shopee tapi ada barang dateng ke rmh nama bener alamat juga bener gimana return nya harga 159.000 lagi , soal keamanan sih oke tapi soal pemesanan pake alamat sama nama orang nya kaga oke ,udh 2 kali terjadi hal seperti ini",Negatif,gimana sih ibu gk punya apk shopee barang dateng rmh nama bener alamat bener gimana return nya harga soal aman sih oke soal mesan pake alamat sama nama orang nya kaga oke udh kali jadi
"jelek banget tiap kali buka aplikasi selalu menonton video,percuma juga clear cache sama aja setiap buka aplikasi selalu menonton video terlebih dahulu",Negatif,jelek banget tiap kali buka aplikasi selalu tonton videopercuma clear cache sama aja buka aplikasi selalu tonton video lebih
cukup puaaaas,Positif,cukup puaaaas
selama ini shopee masih terbaik bgtt makasih dah ada yakk,Positif,lama shopee baik bgtt makasih dah yakk
Membantu,Positif,bantu
sgt berguna dn bermanfaat,Positif,sgt guna dn manfaat
sangat puas,Positif,sangat puas
secara keseluruhan memuaskan tinggal kecepatan kirim yg mngkn perlu diperbaharui sedikt jika memungkinkan cukuplah 2-3 hari sdh diterima.,Positif,seluruh muas tinggal cepat kirim yg mngkn perlu baharu sedikt mungkin cukup hari sdh terima
sip lah,Positif,sip lah
mantab,Positif,mantab
Alhamdulillah shoppe oke,Positif,alhamdulillah shoppe oke
"belanja mudah, banyak diskon saat live, produk bagus",Positif,belanja mudah banyak diskon live produk bagus
sangat puas,Positif,sangat puas
pengiriman sesuai pesanan,Positif,kirim sesuai pesan
sangat membantu ibu rumah tangga dlm berbelanja 👍😁,Positif,sangat bantu ibu rumah tangga dlm belanja
ok mari belanja di shoppe,Positif,belanja shoppe
baik,Positif,baik
sy selalu merasa puas selalu belanja ke shopee dan g pernah kecewa dng kwalitas barang2 yg sy beli dari shopee.,Positif,sy selalu rasa puas selalu belanja shopee g pernah kecewa dng kwalitas barang yg sy beli shopee
selalu puaass blnja dsni,Positif,selalu puaass blnja dsni
puas belanja di Shopee selalu amanah,Positif,puas belanja shopee selalu amanah
sangat membantu,Positif,sangat bantu
terjangkau dan semua real pic,Positif,jangkau semua real pic
Apk belanja pling bgus menurut ku❤,Positif,apk belanja pling bgus ku
semoga selalu amanah tokonya dan menjaga kualitas pesanan konsumen,Positif,moga selalu amanah toko jaga kualitas pesan konsumen
mantap bagus bgt,Positif,mantap bagus bgt
sangat bagus,Positif,sangat bagus
"Sejauh ini ngga pernah kecewa kalau ngirim barang dari shopee selalu dapat voucher gratis ongkir, selalu makin lebih baik lagi deh shopee nya",Positif,jauh ngga pernah kecewa kalau ngirim barang shopee selalu voucher gratis ongkir selalu makin lebih baik deh shopee nya
working app,Positif,working app
setiap belanja online pasti di shopee,Positif,belanja online shopee
matepp lahh,Positif,matepp lahh
shopee ga ada otak lagi main game tiba tiba ke shopee,Negatif,shopee ga otak main game tiba tiba shopee
"layanan shopee sangatlah buruk, pengembalian dana sangat merepotkan, sangat di persulit, tidak ada perlindungan terhadap konsumen, sudah jadi member platinum pun percuma, sangat2 kecewa dengan aplikasi ini, ....",Negatif,layan shopee sangat buruk kembali dana sangat repot sangat sulit lindung konsumen jadi member platinum percuma sangat kecewa aplikasi
aplikasi sangat membantu dalam pembelian online,Positif,aplikasi sangat bantu beli online
pesanan sering terlambat,Negatif,pesan sering lambat
pesanan cepat,Positif,pesan cepat
the best,Positif,the best
bgus,Positif,bgus
good,Positif,good
"suka dengan aplikasi ini, pengiriman cepat, amanah, murah, ada vouchernya lagi pokoknya good la",Positif,suka aplikasi kirim cepat amanah murah vouchernya pokok good la
tidak bisa memblokir toko.,Negatif,blokir toko
Good 👍,Positif,good
bgusssss bgttt,Positif,bgusssss bgttt
"menyenangkan belanja di sopee, barang yang tidak sesuai bisa di kembalikan. thnxk sopee tingkatkn kualitas trs....semoga smkin berjaya.",Positif,senang belanja sopee barang sesuai kembali thnxk sopee tingkatkn kualitas trssemoga smkin jaya
Bagus dan baik pelayanannya,Positif,bagus baik layan
bagus,Positif,bagus
bagus...puass..,Positif,baguspuass
"terima kasih buat sopi, kedepan nya semoga lancar terus..",Positif,terima kasih buat sopi depan nya moga lancar terus
bagus,Positif,bagus
ok,Positif,
cepat dan akurat dengan belanja di sopi,Positif,cepat akurat belanja sopi
"trimakasih ,pelayanannya baik",Positif,trimakasih layan baik
sangat membantu,Positif,sangat bantu
cepat & tepat,Positif,cepat tepat
suka banget,Positif,suka banget
buat shope tolong yang perprisonal dong.saya kecewa sama pihak pengiriman dan tolong cari kurir yang amanah dan tepat waktu.,Negatif,buat shope perprisonal dongsaya kecewa sama pihak kirim cari kurir amanah tepat waktu
Karena setiap saya beli barang bisa di kembalikan,Positif,beli barang kembali
"bang barang cukup bagus dan harga harganya sangat menarik dan pantastik,kirimannya cepat.",Positif,bang barang cukup bagus harga harga sangat tarik pantastikkirimannya cepat
bagus,Positif,bagus
"saya beri 4 dulu sisanya nyusul,, jangan debat ok😅",Positif,beri dulu sisa nyusul jangan debat
ok,Positif,
oke,Positif,oke
senang belanja di shopee,Positif,senang belanja shopee
kenapa beli tidak bisa malah eror mohon di perbaiki,Negatif,beli malah eror mohon baik
bagus,Positif,bagus
"Pengiriman Cepat, Banyak promo",Positif,kirim cepat banyak promo
Bermanfaat buat Cari semua yang di butuhkan,Positif,manfaat buat cari semua butuh
app luarbiasa,Positif,app luarbiasa
bagus banyak diskon juga terutama saat pembelian live,Positif,bagus banyak diskon utama beli live
diskon makin dikit,Negatif,diskon makin dikit
sangat membantu,Positif,sangat bantu
sangat mambantu dalam jual beli,Positif,sangat mambantu jual beli
nice,Positif,nice
aplikasi nya sangat berguna untuk jual beli di online dan nbaguss,Positif,aplikasi nya sangat guna jual beli online nbaguss
👍🏻,Positif,
"shoping shopee slalu,,,👍",Positif,shoping shopee slalu
aplikasi nya bagus,Positif,aplikasi nya bagus
mantappppp,Positif,mantappppp
waww bagus nya,Positif,waww bagus nya
rekom,Positif,rekom
sangatembantu saya dalam mencari barang yg saya butuhkann..,Positif,sangatembantu cari barang yg butuhkann
Perbanyak voucher dan perbesar nilai voucher walaupun selama ini sdh ada mksh.,Positif,banyak voucher besar nilai voucher walaupun lama sdh mksh
shoope paling pas tuk berbelanja online dan pengirimanya jg cepat semoga makin kedepannya tetep makin bagus dan lebih baik,Positif,shoope paling pas tuk belanja online pengirimanya jg cepat moga makin depan tetep makin bagus lebih baik
Terpercaya sangat membantu..Sukses sllu.,Positif,percaya sangat membantusukses sllu
"Luar biasa ecomerce shopee, marketplace populer. Mitranya banyak, punya banyak divisi dari fintech lending sampai kurir. Pintar2nya kita milih mitra shopee kalau belanja online meskipun Shopee memberikan layanan pengembalian barang gratis. Yang mantap, Ada aplikasi tersendiri 'ShopeePay' sebagai alat pembayaran di merchant2 mitra Shopee. Bisa digunakan secara offline.",Positif,luar biasa ecomerce shopee marketplace populer mitra banyak punya banyak divisi fintech lending kurir pintar milih mitra shopee kalau belanja online meski shopee beri layan kembali barang gratis mantap aplikasi sendiri shopeepay alat bayar merchant mitra shopee guna offline
sangat memuaskan,Positif,sangat muas
bagus,Positif,bagus
terima kasih,Positif,terima kasih
"apa ini, semenjak J&T sdh sdh tidak ada mau pesan barang jadi takut apa lagi jasa kirim exp expres di tambah tidak ada fitur COD, jadi tambah gk yakin barang bakal di anter ke rumah. belajar dari pengalaman oke",Negatif,apa semenjak jt sdh sdh mau pesan barang jadi takut apa jasa kirim exp expres tambah fitur cod jadi tambah gk yakin barang bakal anter rumah ajar alam oke
Shopee Makin Jelek Banyak Barang yg tidak bisa kita COD dan banyak juga yang tidak bisa di bayar paki Shopeepay Saya rugi uang gara2 deposit tapi tidak bisa di gunakan app paling buruk,Negatif,shopee makin jelek banyak barang yg cod banyak bayar paki shopeepay rugi uang gara deposit guna app paling buruk
lama bnget buat kirim nya melewati batas kirim kocak,Negatif,lama bnget buat kirim nya lewat batas kirim kocak
Barang bagus. ok mantap. makasih,Positif,barang bagus mantap makasih
sangat membantu untuk orang yg malas keluar eumah,Positif,sangat bantu orang yg malas keluar eumah
𝑎𝑘𝑢 𝑠𝑢𝑘𝑎 𝑎𝑝𝑙𝑖𝑘𝑎𝑠𝑖 𝑠ℎ𝑜𝑝𝑒𝑒 𝑔𝑎𝑘 𝑢𝑠𝑎ℎ 𝑘𝑒 𝑝𝑎𝑠𝑎𝑟 𝑒𝑛𝑎𝑘 𝑑𝑖 𝑟𝑢𝑚𝑎ℎ 𝑎𝑗𝑎 𝑑𝑎𝑛 𝑔𝑎𝑚𝑝𝑎𝑛𝑔 𝑔𝑎𝑘 𝑟𝑖𝑏𝑒𝑡,Positif,
puas tingkatkan lagi keamanan konsumen ya,Positif,puas tingkat aman konsumen
keereeen saya suka suka,Positif,keereeen suka suka
mantul,Positif,mantul
blanja online lebih gampang pengiriman sesuai barang yg di cari pasti ada,Positif,blanja online lebih gampang kirim sesuai barang yg cari
soopee keren💗🥰☺️💔💔,Positif,soopee keren
harga murah dan amanah,Positif,harga murah amanah
siiiiip,Positif,siiiiip
"sumpah parah banget system shopee, udah co tiba2 di batalkan otomatis.gak mau rugi tapi sok-sokan ngasih promo.giliran promo di pake di cancel otomatis.",Negatif,sumpah parah banget system shopee udah co tiba batal otomatisgak mau rugi soksokan ngasih promogiliran promo pake cancel otomatis
"Beli voucher Shopeefood Deals, kirain udah fix harganya segitu. Ternyata harus bayar ongkir juga 🤦🤦🤦",Negatif,beli voucher shopeefood deals kirain udah fix harga segitu nyata bayar ongkir
ok,Positif,
memuas kn,Positif,muas kn
puas dengan seller shopee..,Positif,puas seller shopee
"tolong dong buat pihak shopee nih, saya mengalami keganjalan, barang yg masih di tunggu"" tiba"" di batalkan pesanan padahal saya sendiri tidak membuat pembatalan kok bisa terjadi seperti ini,,.",Negatif,dong buat pihak shopee nih alami ganjal barang yg tunggu tiba batal pesan padahal sendiri buat batal kok jadi
"aplikasi yg sangat membantu buat kami tim yg mageran,... 🙏🏻🙏🏻🙏🏻",Positif,aplikasi yg sangat bantu buat tim yg mageran
Trmksh shopee sudah bantu kebutuhan usaha sy mg sukses sll Aammin 🙏,Positif,trmksh shopee bantu butuh usaha sy mg sukses sll aammin
"Ketika JNT belum diputus mitra adalah jasa kirim andalan tercepat pengiriman luar Jawa, terlambat-lambatnya belum pernah terlambat sampai 1 Minggu. diganti SPX SAMPAH SERING TERLAMBAT 1 MINGGU Bahkan ADA 2 MINGGU. kalau mau monopoli semuanya seharusnya sudah siap resiko!!!!!",Negatif,jnt putus mitra jasa kirim andal cepat kirim luar jawa terlambatlambatnya pernah lambat minggu ganti spx sampah sering lambat minggu bahkan minggu kalau mau monopoli semua siap resiko
puas dg pelayanannya sopo okeh ...cuman pengiriman suka agak lambat,Positif,puas dg layan sopo okeh cuman kirim suka lambat
Good 👍👍👍👍,Positif,good
barangnya yg dijual original...lebih murah...,Positif,barang yg jual originallebih murah
bisa terbantu,Positif,bantu
"Sangat membantu, sangat sederhana sehingga mudah dipahami namun lengkap.",Positif,sangat bantu sangat sederhana mudah paham lengkap
pengirimanan cepat,Positif,pengirimanan cepat
terima kasih shopee. memudahkan ibu2 untuk belanja kebutuhan sehari hari dan banyak promonya itu yg kami suka,Positif,terima kasih shopee mudah ibu belanja butuh hari hari banyak promonya yg suka
bagus,Positif,bagus
"alhamdulilah suka dengan aplikasi ini,,lebih mudah dlm berbelanja dan tidak mengecewakan,,",Positif,alhamdulilah suka aplikasi inilebih mudah dlm belanja kecewa
sangat bagus dan sangat membantu karna lebih mudah dalam membeli sesuatu,Positif,sangat bagus sangat bantu karna lebih mudah beli
Bagus,Positif,bagus
ekspedisi anteraja hapus aja ih najiss paket stuck ga mau jalan padahal masih satu provinsi. kebalap sama Lex id padahal pengiriman beda pulau. anteraja ganti nama aja jadi entar aja gjjj!!,Negatif,ekspedisi anteraja hapus aja ih najiss paket stuck ga mau jalan padahal satu provinsi balap sama lex id padahal kirim beda pulau anteraja ganti nama aja jadi entar aja gjjj
mantap banyak membantu bisnis UMKM saya,Positif,mantap banyak bantu bisnis umkm
ok,Positif,
"mempermudah membeli barang barang yg dibutuhkan, harga sesuai kwalitas👍👌",Positif,mudah beli barang barang yg butuh harga sesuai kwalitas
jujur saya terbantu oleh shopee,Positif,jujur bantu shopee
selalu bisa diandalkan,Positif,selalu andal
sangat membantu sekali walaupun waktu sibuk. pertahankan trs dan sukses sllu,Positif,sangat bantu sekali walaupun waktu sibuk tahan trs sukses sllu
mantap sekali penjualan paling laris,Positif,mantap sekali jual paling laris
👍👍👍,Positif,
menarik,Positif,tarik
layanan... pengiriman cepat...cum klw barang yg tidak sesuai sesudah ada laporan dari konsumen mohon di keluarkan sja dari shope..agar gak ada korban pembelian lagi,Positif,layan kirim cepatcum klw barang yg sesuai lapor konsumen mohon keluar sja shopeagar gak korban beli
sangat membantu untuk mencari barang yg jarang ada di daerah terpencil Terima Kasi Shopee🥰🥰🥰🥰🥰🥰,Positif,sangat bantu cari barang yg jarang daerah pencil terima kasi shopee
bagus dan senang,Positif,bagus senang
bagus deh ya banget dong tuh sih itu,Positif,bagus deh banget dong tuh sih
mantap,Positif,mantap
kurang setuju aku akun shopee nya kalo gagal sekali langsung gak bisa co,Negatif,kurang tuju aku akun shopee nya kalo gagal sekali langsung gak co
sangat baik,Positif,sangat baik
prioritas pokoknya,Positif,prioritas pokok
Terima kasih pesanan tiba dengan mulus mudah2n awet,Positif,terima kasih pesan tiba mulus mudahn awet
bagus banget aku jadi bisa belanja di online tanpa pergi jauh²,Positif,bagus banget aku jadi belanja online pergi jauh
"shopee cukup membantu untuk berbagai kebutuhan penunjang alat kerja harian, trimakasih shopee👍",Positif,shopee cukup bantu bagai butuh tunjang alat kerja hari trimakasih shopee
OK,Positif,
nice,Positif,nice
"pengiriman sangat cepat, cuman kadang ongkirnya kemahalan",Positif,kirim sangat cepat cuman kadang ongkirnya mahal
saya kasih saran tolong map dan notifikasi pengiriman yg akurat. dimap nya masih jauh ke alamat pembeli tau2 kurirnya sdh sampai ditempat yg dituju jadi harus akurat mapnya,Negatif,kasih saran map notifikasi kirim yg akurat map nya jauh alamat beli tau kurir sdh tempat yg tuju jadi akurat map
sangat mempermudahkan untuk belanja online,Positif,sangat mudah belanja online
pengirim paket gagal trs sampai kembali kepenjual nya,Negatif,kirim paket gagal trs jual nya
Sy sarang kan utk pelanggan pengguna aplikasi shoope UTK tidak melakukan pembayaran tunai saat membeli barang... cukup sy yg alami..dari estimasi tgl 17 sampai sekarang pesanan sy belum juga sy terima...dgn alasan kendala internal dari jasa kirim... sementara dari pihak atau dari coutumer shoope dari tgl tsb sampai sekarang jawaban nya sedang menuju alamat tujuan..tapi faktanya sampai sekarang belum sy terima,Negatif,sy sarang kan utk langgan guna aplikasi shoope utk laku bayar tunai beli barang cukup sy yg alamidari estimasi tgl sekarang pesan sy sy terimadgn alas kendala internal jasa kirim pihak coutumer shoope tgl tsb sekarang jawab nya sedang tuju alamat tujuantapi fakta sekarang sy terima
"sudah tidak bisa cod lagi, parah sih dikssih ginian",Positif,cod parah sih dikssih ginian
ok,Positif,
kalo ini sih jangan di ragukan lagi langsung bintang 5,Positif,kalo sih jangan ragu langsung bintang
"Belanja apapun jadi mudah, seller² terpercaya ditambah lagi fitur² lain seperti shoppepay dan spaylater menjadi solusi pembayaran yang sangat membantu sekali.",Positif,belanja apa jadi mudah seller percaya tambah fitur shoppepay spaylater jadi solusi bayar sangat bantu sekali
mantap 👍,Positif,mantap
sangat membantu,Positif,sangat bantu
bagus,Positif,bagus
selalu meyakinkan,Positif,selalu yakin
memuaskan,Positif,muas
bagus,Positif,bagus
mantap,Positif,mantap
baik,Positif,baik
mantab gratis ongkir,Positif,mantab gratis ongkir
bagus aplikasi nya& memuaskan.,Positif,bagus aplikasi nya muas
Saya Suka Dengan Aplikasi Ini Tapi Tolong Mengirimkannya Lebih Cepat,Positif,suka aplikasi kirim lebih cepat
"shopee sekarang jasa kirim nya lambat, suka muter""",Positif,shopee sekarang jasa kirim nya lambat suka muter
"apaansi akun ku tiba tiba ke logout, oke uda bisa login lagi, tapi tetep aja kecewa tiba tiba ke logout",Negatif,apaansi akun ku tiba tiba logout oke uda login tetep aja kecewa tiba tiba logout
👍🙂,Positif,
shopee selalu utama untuk belanja online ku❤️❤️❤️👍👍👍,Positif,shopee selalu utama belanja online ku
"saya belanja di shopee khusus ya produk non(bukan produk bahan bahan bgs,juga penjual produk.",Positif,belanja shopee khusus produk nonbukan produk bahan bahan bgsjuga jual produk
mantap,Positif,mantap
sangat baik dan ramah,Positif,sangat baik ramah
mantap,Positif,mantap
mantap sangat membatu,Positif,mantap sangat batu
"kurang""in yang balas keluhan customer BOT bikin GEDEK sama ini aplikasi",Negatif,rangin balas keluh customer bot bikin gedek sama aplikasi
Sangat buruk...setiap kali chekout selalu dibatalkan terus lama2 ogah pake shopee,Negatif,sangat buruksetiap kali chekout selalu batal terus lama ogah pake shopee
"Shopee adalah apl belanja online terbaik saat ini, Banyak bonus.",Positif,shopee apl belanja online baik banyak bonus
pengiriman cepat dan barang sesuai,Positif,kirim cepat barang sesuai
keren dan mantap,Positif,keren mantap
"balikin jnt njg, spx lama Cok walaupun udah reguler tapi lama,",Negatif,balikin jnt njg spx lama cok walaupun udah reguler lama
sangat membantu dalam kebutuhan belanja,Positif,sangat bantu butuh belanja
top markotop sya Skali aplikasi ini,Positif,top markotop sya skali aplikasi
so good 👍👍👍👍👍,Positif,so good
nicee,Positif,nicee
psn barang di shopee cm smpe dikurir saja tuh paketnya slalu aja retur jd ckp trakhr blnja dishopee,Negatif,psn barang shopee cm smpe kurir tuh paket slalu aja retur jd ckp trakhr blnja dishopee
Good experience,Positif,good experience
Alhamdulillah baik,Positif,alhamdulillah baik
sangat membantu dalam proses pencarian barang dan bahan.,Positif,sangat bantu proses cari barang bahan
kadang hilang signal padahal buka yang lain lancar aja.,Positif,kadang hilang signal padahal buka lancar aja
main game di lazada aja guys lbh fair dan dpt hadiah bnran disini harus beli koin kalau mau menang bukan dpt hadiah malah buang duit,Negatif,main game lazada aja guys lbh fair dpt hadiah bnran sini beli koin kalau mau menang bukan dpt hadiah malah buang duit
sangat praktis dan membantu lebih mudah,Positif,sangat praktis bantu lebih mudah
bagus,Positif,bagus
terjamin dan aman,Positif,jamin aman
dapat dipercaya dan amanah,Positif,percaya amanah
"saya pelanggan setia shopee yg sangat puas dg pelayanannya & barang yg dtg sllu sesuai pesanan makasih shopee, smg amanah dlm berbisnis🙏",Positif,langgan setia shopee yg sangat puas dg layan barang yg dtg sllu sesuai pesan makasih shopee smg amanah dlm bisnis
saya suka belanja dishopee,Positif,suka belanja dishopee
saya sangat suka dengan shopee karna harga lebih murah,Positif,sangat suka shopee karna harga lebih murah
lemot harus donwlod banyak fitur,Negatif,lot donwlod banyak fitur
bagus,Positif,bagus
"jika terlalu lama buka aplikasi, realmi c53 tiba tiba ngelag dan restart sendiri. apa solusinya? Thanks atas respon dari shopee 👍🏻",Positif,terlalu lama buka aplikasi realmi c tiba tiba ngelag restart sendiri apa solusi thanks atas respon shopee
"bintang saya naikkan lagi, karena pengembalian dana sudah di proses dan kami terima, dan alangkah baiknya seller yang tidak amanah dalam berdagang mohon untuk menindak lanjutin",Positif,bintang naik kembali dana proses terima alangkah baik seller amanah dagang mohon tindak lanjutin
"selagi bebas ongkir saya suka sekali,😄😄😄",Positif,bebas ongkir suka sekali
bintang yg berbicara,Positif,bintang yg bicara
mantap,Positif,mantap
tepat waktu,Positif,tepat waktu
"semoga lebih baik dari toko sebelah,, saya sudah kecewa dengan toko sebelah",Positif,moga lebih baik toko belah kecewa toko belah
sangat membantu,Positif,sangat bantu
pengiriman cepat,Positif,kirim cepat
Mantap...,Positif,mantap
"shopee apk terbaik dan tepercaya,,cepat dan sesuai dengan keinginan",Positif,shopee apk baik tepercayacepat sesuai ingin
bagus,Positif,bagus
bagus,Positif,bagus
barang y sllu cocok sesuai pesanan,Positif,barang y sllu cocok sesuai pesan
Mantul,Positif,mantul
aplikasi pembawa iklan,Negatif,aplikasi bawa iklan
gratis ongkir😁😁😁,Positif,gratis ongkir
ok,Positif,
mantab semua pokoknya,Positif,mantab semua pokok
saya suka aplikasi ini karena memudahkan saya belanja tanpa harus pergi jauh,Positif,suka aplikasi mudah belanja pergi jauh
aplikasinya mantap barang barangnya juga bagus banget rekomendasi banget ni aplikasi,Positif,aplikasi mantap barang barang bagus banget rekomendasi banget ni aplikasi
mantap,Positif,mantap
kataya barang yang dikirim tidak sesuai kadang kadang masak pesen 1P datengya papaan logo apel hadeh!!!!!!!!!!!!!!!!,Negatif,kataya barang kirim sesuai kadang kadang masak sen p datengya papa logo apel hadeh
mantap,Positif,mantap
"harga murah, respon cukup baik",Positif,harga murah respon cukup baik
"shopee adalah aplikasi yang sangat bagus, fitur fiturnya gampang dan mudah di pahami. sukses selalu shopee is the best👍❤️",Positif,shopee aplikasi sangat bagus fitur fiturnya gampang mudah paham sukses selalu shopee is the best
marketplace terfavorit,Positif,marketplace favorit
"Bagus, tidak berat dihp kentang",Positif,bagus berat dihp kentang
ok banget,Positif,banget
mantap.. Tapi saya ga bisa buka shopepay dan spinjam ya.. Dan naikan limit paylater nya ya. Makasih,Positif,mantap ga buka shopepay spinjam naik limit paylater nya makasih
shopi sangat membatu buat yg lgi dagang. debest pokonya,Positif,shopi sangat batu buat yg lgi dagang debest poko
gak bagus ngaju in s payleter GK lolos dr Agustus 2024 smpe Maret 2025 gagal terus,Negatif,gak bagus ngaju in s payleter gk lolos dr agustus smpe maret gagal terus
"bermanfaat sekali ,terima kasih shopee",Positif,manfaat sekali terima kasih shopee
"awalnya bisa pesan cod pesanan nya juga belum nyampe kerumah ,pas mau pesan lagi malah ga bisa cod",Positif,awal pesan cod pesan nya nyampe rumah pas mau pesan malah ga cod
bagus,Positif,bagus
sangat baik,Positif,sangat baik
Bismillah🤲😇semoga selalu Amanah...dan di seleksi lagi buat penjual yang nakal,Positif,bismillahsemoga selalu amanahdan seleksi buat jual nakal
"sangat baik dari segi penanganan konsumen, ongkir murah.",Positif,sangat baik segi tangan konsumen ongkir murah
sngat memudahkan utk belanja,Positif,sngat mudah utk belanja
is the best,Positif,is the best
good,Positif,good
mudah murah cepat hemat,Positif,mudah murah cepat hemat
Memiliki kemudahan yang plus,Positif,milik mudah plus
sangat puas dengan pelayannanya. semoge kedepannya semakin jaya.,Positif,sangat puas pelayannanya semoge depan makin jaya
kerenn pokonya,Positif,kerenn poko
horas mantap.👍👍👍,Positif,horas mantap
membantu,Positif,bantu
mudah dalam bertransaksi... keluhan pengembalian juga cepat prosesnya tidak ribet 👍👍,Positif,mudah transaksi keluh kembali cepat proses ribet
"saya senang ber belanja menggunakan paylater karena waktu pengiriman saya sudah berangkat bekerja jadi bisa bayar nanti sehabis kerja di paylater , sayang nya limitnya sangat kecil di akun saya",Positif,senang ber belanja guna paylater waktu kirim berangkat kerja jadi bayar habis kerja paylater sayang nya limit sangat kecil akun
bagus,Positif,bagus
bagus,Positif,bagus
mntap bagus,Positif,mntap bagus
andalan belanja online di toko orange 🥰,Positif,andal belanja online toko orange
katanya murah padahal mahal semua,Negatif,kata murah padahal mahal semua
sering ketipu sama penjual,Positif,sering tipu sama jual
"bagus,",Positif,bagus
"senang belanja d shopee.byk bonus & diskon, yg pasti harga murah sering ada free ongkir lagi...",Positif,senang belanja d shopeebyk bonus diskon yg harga murah sering free ongkir
komplain dilama lama in,Negatif,komplain lama lama in
