full_text,actual,predicted
dislikenya lebih byk drpd likenya njir lawak badut ini,Positif,Positif
saya kunjungi chanel ini cuma buat dislike lucu,Netral,Netral
ternyata arti adalah dua duanya sedih,Netral,Netral
"kebenaran dan kebaikan akan selalu menang, ibrahim dan musa telah membuktikannya musuhnya semua hancur, yg jahat berakhir kalah dan hancur",Positif,Positif
"udh monolog dan baca teks lagi, dialog dong ke anak muda datangi kampus tunjukkan kemampuanmu spy bisa dicontoh oleh mrk.",Negatif,Negatif
anak papi.,Positif,Netral
"apaan bonus demografi...., yg ada phk dan pengangguran masal.., sampah ....",Negatif,Negatif
pupupapa,Positif,Positif
"saya rasa kalau sekedar membaca teks saya juga bisa,,tapi kelihatannya nggak keluar dari hasil pemikiran sendiri tong kosong nyaring bunyinya lucu lucu lucu",Positif,Negatif
bodoh dan tak tau malu itu ternyata penyakit keturunan..,Negatif,Negatif
gw kesini utk like komen doank kgk like videonya aokwokwk,Netral,Netral
cuma mau baca komen videonya di kasih pause senang lucu,Positif,Negatif
dislike yuk... buruk buruk buruk,Negatif,Negatif
"dr sorot matanya aja dah kliatan, mirip temen ku yg pcndu pl k*plo",Netral,Netral
maaf anda tak punya malu,Netral,Netral
: pake ai apa mas fufufafa,Netral,Netral
dis like nya kosong .. apa emang kosong,Negatif,Negatif
"awalnya saya dikasih link sama guru saya, katanya ""begini nih kalau ortu gak bisa didik anak, akhirnya anaknya bakalan nyusahin orang banyak kaya gini."" eh setelah saya buka link nya kok jadi videonya mas gibran? lucu lucu",Negatif,Negatif
"klo pemimpin generasi milinial.. keren kalo wapres mau masuk kampus, kuliah umum dan diskusi sma mahasiswa..",Positif,Positif
penting bgt ini video,Positif,Positif
ya koruptor harus hukuman berat sama pemerintah yang gj lah mas gibran😅,Negatif,Netral
ga nyambung coy bagus bagus bagus,Positif,Positif
fufafufa,Positif,Negatif
fufubaba fufufini,Netral,Netral
genius bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus,Positif,Positif
indonesia keren untuk rakyatnya apabila wapresnya bukan fufufafa,Positif,Positif
"so, what's the point of this video actually ?!?!?!?! i can't see anything except darkness will be coming soon senang senang senang",Positif,Positif
bansos nya tiap hari bisa gak pak? makmur lho pak kalo bansos nya tiap hari.,Positif,Positif
fufubaba fufufini,Netral,Netral
saya kunjungi chanel ini cuma buat dislike lucu,Netral,Netral
tidur dulu gak sih,Netral,Netral
fufufafa,Positif,Netral
siapa disini gak berani komen dukung karena takut dibully haters?,Negatif,Negatif
tai,Positif,Positif
nyapo kowe ki,Netral,Netral
"bonus demografi, lu aja kerja di cari sama bapak lu enak banget yaaa, ga kaya anak muda yg lain lucu lucu lucu ngakak siii parah lu",Positif,Positif
lebih tertarik baca komen drpada videonya. videonya aja ku pause wkwk,Negatif,Netral
siap pak wapres,Netral,Netral
"pak, solusi pak! buka lapangan kerja mana!",Negatif,Negatif
"aauhhh ahhhhh gelap, apa maksud dari omongan ini",Negatif,Negatif
editing = % teksnya prompt ai = % numpang ketenaran = % daging = % just for fun,Negatif,Negatif
halo mas fufufafa,Positif,Positif
wapres kosong,Negatif,Negatif
undang rame diskusi tingkat rt,Netral,Netral
gw nonton apa jir,Netral,Netral
tai,Positif,Positif
"inget lagu ela elo, sawo di pangan uler, ela elo wong bo** ngaku pinter",Negatif,Negatif
"enak ya jadi wapres kerjanya tinggal baca text, sisanya di atur editor",Netral,Netral
tong kosong nyaring bunyinya,Negatif,Negatif
siapa yg nge kike,Netral,Netral
genius bagus 🏼 bagus 🏼 bagus 🏼 bagus 🏼 bagus 🏼 bagus 🏼 bagus 🏼 bagus 🏼 :,Positif,Positif
fura fura faham falelu,Positif,Positif
tidak layak jadi panutan,Negatif,Negatif
baru kali ada wapres gak dihargai rakyatnya 😅,Negatif,Negatif
lo agi mncoba niru raymond chin yeh bangun bangun fufufafa lucu ijazah lo pegangin lucu lucu lucu .. raymond chin monolog menuangkan intelek nya pikirannya best on in ilmu kapasitas nya lah elo fufufafa best on ngumpat ngumpat wowo itu sjarah hebatnu dan jdi wapres inconstitusi hasil kkn baby nepotisme from father of contradiction lucu,Positif,Positif
"""giliran kita?"" maksudnya apa nih? kita itu siapa? anak-anak muda indonesia atau hanya keluargamu saja mas?",Negatif,Negatif
biar keliatan ga kosong,Positif,Negatif
"pause dulu videonya, mending baca komen-komennya lebih seru.",Netral,Netral
"yang kasian presiden prabowo, punya wakil yg kualitasnya seperti ini. dan ini akan menjadi catatan hitam dalam sejarah kepemimpinan negara ini.",Negatif,Negatif
"mampir kesini gara gara liat short judul nya ""wapres gak ada isi nya lucu lucu",Negatif,Negatif
seru dan rame baca koment nya😅,Positif,Positif
gelap gulita indonesia.....semoga indonesia akan hadir pemimpin yg seperti vladimir putin.....optimis indonesia emas di tahun ....jadi nunggu lagi ya...semoga cicit kita bisa merasakan indonesia emas...tahun,Positif,Positif
dislike yang x lipatnya di hidden🗿,Netral,Netral
siap pak wapres,Netral,Netral
wkwkwkwkwkwk. pemimpin yg dipilih dominan pemilih kelas ya gini,Negatif,Negatif
gak matching antara omongan dengn wajahnya yg memiliki keterbelakangan mental,Negatif,Negatif
dis like nya kosong .. apa emang kosong,Negatif,Negatif
omong kosong . apbn defisit utang negara bertambah phk massal merajalela. bubar semua lucu,Negatif,Negatif
: pake ai apa mas fufufafa,Netral,Netral
bran bran,Netral,Netral
"yang nonton ,m yg like ribu,sisanya apa yaaa?",Netral,Negatif
"sampe kapan mau hapusin komen negatif lek, namanya beropini ya harus berani bertanggung jawab dong klo ditanyain, klo takut berarti opini nya gak kuat lucu",Negatif,Negatif
"yg pandai team pembuat you tube, gibran tinggal baca",Netral,Netral
rasa malu digadaikan demi tahta ❤ harus lah! yakaan mas bran? hidupp fufufafa..,Negatif,Netral
aku mules mas..,Positif,Netral
"mas wapres, ini contoh lain hilirisasi buat referensi :. singkong diolah jadi combro, . tahe ayam jd pupuk. sy bangga wapres punya iq lebih dari einstein, gemar baca buku ilmiah, pandai pidato/retorika seperti bung karno senang",Positif,Positif
"trima kasih pak wakil presiden termuda di indonesia berkat bapak saya paham penting nya orang dalam, untuk menjalankan kan sesuatu bisnis ❤",Positif,Positif
salut sama tim creativenya sama yg buat narasinya,Netral,Netral
pupupapa,Positif,Positif
hahahahhahahahahahahaha,Positif,Positif
wapresnya kayak nunggu lampu merah lucu,Netral,Netral
gak keliatan dislike nya woe,Negatif,Negatif
bonus demografi saat bapak anda menjabat. siapa yg menikmati? rakyat indonesia (x) keluarga and@ (v ),Netral,Netral
"lapangan kerja sempit, lihat lapangan boss jangan kebanyaakan teori dan data.",Negatif,Negatif
isi nya kosong semua,Negatif,Negatif
"klo orang dpt posisi baik karena modal ilmu nya,ini orang modal bapak saja sma paman",Positif,Positif
fufubaba fufufini,Netral,Netral
ah masih cerdasan si dustin ternyata,Positif,Netral
"hujatan akan membuat mu semakin terbuka dan kuat mas, semangat mas gibran💪",Positif,Positif
"itu like berapa ya, boleh nih buat sidejob wkwk",Netral,Netral
dislike yang x lipatnya di hidden🗿,Netral,Netral
tai.,Positif,Positif
ngomong jangan satu arah. klo berani datang ke kampus² untuk berdialog. berbicara tanpa naskah & arah. itu pun klo berani..,Negatif,Negatif
ooh ini yg di senggol mas fery lucu lucu lucu btw.. aku makan gada dagingnyaa lucu lucu,Positif,Positif
tidak pantas jadi wapres kau samsul cunguk,Negatif,Negatif
semangat pak wapres 🔥🔥,Positif,Positif
wapres giveaway,Netral,Netral
❤❤,Positif,Negatif
"ketika buzzer pun ikut mengamini netizen. saran saya masnya ""kabur aja dulu"" 😉",Netral,Netral
mudah han indonesia punya wapres yg lebih baik,Positif,Positif
sebenrnya ini orang sekalipun ngomong di tongkrongan gabakal di dengerin kocak,Negatif,Negatif
like aja di beli apa lagi suara,Negatif,Negatif
"luar biasa untuk pertanian ,ekonomi olah raga bekemampuan nya untuk perobahan masyarakat yan sejahtera.",Positif,Positif
gibran beli like lucu,Positif,Positif
"barisan sakit semakit sakit parah.nyinyir,zalim,majnun.",Negatif,Negatif
"coba bandingkan dengan penyampaian ferry irwandi, orang akan tau mana yg bener paham dengan konteks pembicaraan",Positif,Negatif
"enak ya jadi wapres kerjanya tinggal baca text, sisanya di atur editor",Netral,Netral
beli dimana like itu ya...?,Netral,Netral
"luar biasa untuk pertanian ,ekonomi olah raga bekemampuan nya untuk perobahan masyarakat yan sejahtera.",Positif,Positif
"lagi nyari komentar yang mendukung, klu ada yg nemuin tolong kasih tau saya",Netral,Negatif
anjir likenya disuntuk awokawoawkawoawk,Positif,Positif
"yang nonton ,m yg like ribu,sisanya apa yaaa?",Netral,Negatif
beli dimana like itu ya...?,Netral,Netral
senang,Positif,Positif
hedeh ooooonn oon,Negatif,Positif
siap pak wapres,Netral,Netral
jiga nu betul wae!,Positif,Positif
boneka bicara lucu,Positif,Positif
wkwkkw aja,Positif,Positif
"ya percuma juga kita sebagai anak muda mau jdi apa kalau gada orang dalam, bapak cuma petanii, om juga petani jd bisa apa 😫 btw pengangguran di indonesia meledak jadi ,jt lucu lucu lucu",Negatif,Negatif
bagus bagus bagus bagus bagus bagus bagus,Positif,Positif
apalah lucu lucu,Positif,Positif
nama channel ferry irwandi apa ya?,Netral,Netral
coba ngobrol sma bang ferry dlu mas,Netral,Positif
halah nyocot lucu,Positif,Positif
indonesia keren untuk rakyatnya apabila wapresnya bukan fufufafa,Positif,Positif
"saya kasihan lihat muka anda , terlihat begitu lelah dan stress",Negatif,Negatif
matanya kosong lucu,Negatif,Negatif
kasih sayang admin,Positif,Positif
serius likenya sebanyak itu?,Negatif,Negatif
wapres giveaway,Netral,Netral
bagus bagus bagus bagus bagus bagus bagus,Positif,Positif
preeeeeetttttt,Negatif,Negatif
",mau di lengserkan langsung aplod ini biar keliatan kerja",Netral,Negatif
hahahahhahahahahahahaha,Positif,Positif
kelihatan kosong otaknya lucu lucu lucu lucu,Negatif,Positif
ya allah gue malah seru baca komentarnya dari pada dengerin dan tonton videonya lucu 😅,Positif,Positif
dislike yang x lipatnya di hidden🗿,Netral,Netral
apa yang sedang di yeping kan oleh fufufafa dawg lucu lucu lucu,Netral,Netral
generasi pupupapa,Netral,Positif
pandangannya kosong,Negatif,Negatif
dislikenya lebih byk drpd likenya njir lawak badut ini,Positif,Positif
ky ikut uji nyali...g kuat🖐️,Positif,Positif
: affah iya :v,Netral,Netral
kosong banget yaa allah,Negatif,Negatif
ah masih cerdasan si dustin ternyata,Positif,Netral
hahahahhahahahahahahaha,Positif,Positif
video yang bagus untuk dihujat,Negatif,Positif
"generasi muda tdk takut tantangan, wong sudah biasa menghadapi hidup di negara ini tanpa bantuan ordal buat nyari kerjaan. kya siapa gitu lucu",Negatif,Negatif
"serem gw liat komentar"" y.... sedih",Negatif,Negatif
info loker mas wapres,Netral,Netral
aah lo aja kerja di cariin bapak nya,Negatif,Negatif
pandangannya kosong,Negatif,Negatif
"giliran d tanya langsung, planga plongo lucu",Netral,Netral
jangan hiraukan orang yg mencibirmu anak muda....bulatkan tekatmu untuk membangun 🇲🇨 dan teruslah belajar untuk mensejahtrakan 🇲🇨,Positif,Positif
"love komunikasinya pak, kalo gini clear pak gibran",Netral,Netral
eh? mana isi videonya? dijual terpisah ya 😅,Negatif,Negatif
klo baca teks kliatan kyk orang pinter... lucu,Positif,Positif
coba pidatonya di depan banyak orang atau di depan mahasiswa bisa ngomong gak?,Negatif,Negatif
"kayak aneh gitu mukanya, pake ai?",Negatif,Negatif
lucu lucu lucu lucu lucu lucu lucu lucu q suka komentar netizen.... i like it lucu,Positif,Positif
gas pooolll mas wapres 💪💪❤,Netral,Netral
hooooekcohhh,Negatif,Negatif
juta lowongan kerja bagaimana kabarnya,Netral,Netral
"coba bandingkan dengan penyampaian ferry irwandi, orang akan tau mana yg bener paham dengan konteks pembicaraan",Positif,Negatif
negara lain penduduknya sudah pada maju negara indonesia rakyatnya kerjaanya cuma mencaci dan menghina :(,Negatif,Negatif
salut sumpah mas ini mentalnya baja juga yaa.. bener udah gak ada rasa malu lucu mental unik yg udah dari turunan bapake mantapp…,Positif,Negatif
kesini cuma mau dislike buruk,Negatif,Negatif
lengser lee buat vidio pelanga pelongo,Netral,Netral
"lg nyari"" ...dmna isi videonya,,,",Netral,Netral
aku be like: ngomong opo iki,Netral,Positif
malumaluin indonesia ni orang...maen vs aja sono,Negatif,Negatif
kedunguan yg hakiki lucu,Positif,Positif
hilih.. mbuh..,Netral,Netral
udah yappingnya lucu lucu,Positif,Positif
karbit,Positif,Positif
kalo gak dibantu bapak sama pamman emang bisa?,Netral,Netral
emang ia di dislike ? coba sini mampir,Negatif,Negatif
"matanya lihat apa itu, baca apa liat kamera? 😅",Negatif,Negatif
mas . terus berjuang dan belajar.. untuk indonesia lbh baik.. masih banyak yg ber prasangka baik kepada mas wapres.. selalu libatkan allah dalam semua tindakanmu.. indonesia jaya. !,Positif,Positif
adili samsul bin fufufafa!,Netral,Netral
indonesia rugi membayar pajak dapat wapres yg oon,Netral,Netral
aura tololnya melebihi %🎉,Negatif,Negatif
"bonus demografi, lu aja kerja di cari sama bapak lu enak banget yaaa, ga kaya anak muda yg lain lucu lucu lucu ngakak siii parah lu",Positif,Positif
: pake ai apa mas fufufafa,Netral,Netral
"coba dikampus bedah ini dong pak wapres, diskusi sama mahasiswa",Netral,Netral
"cukup w aj yg nonton sampai habis, kalian gak ush dah kata w🤡",Negatif,Negatif
ngomong apa sih ini wapres,Netral,Netral
udah yappingnya lucu lucu,Positif,Positif
ilmu buapak nya udah di turunin sama dia ...muka tembok,Negatif,Negatif
ai buatan manusia mengalahkan manusia,Negatif,Negatif
abang yang namanya fufufafa?,Netral,Netral
jenius bang bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus bagus,Positif,Positif
gye yakin kalau bukan karena bapake dan omnye mana bisa dia jadi seperti skrg,Netral,Negatif
wapresnya kayak nunggu lampu merah lucu,Netral,Netral
"dek, bapak mu janji juta lapangan kerja mana deeek…zooonk yg ada, phk dimana!",Negatif,Negatif
saya kunjungi chanel ini cuma buat dislike lucu,Netral,Netral
"lebih bagus.. mas gibran mundur dari wapres..nggak cocok mas, bukan bidangnya mas.. rakyat indonesia adalah manusia mas gibran..bukan binatang..tlong, tolong banget... mundur lebih mulia dari pada mas gibran jadi wapres, sekali lagi.. ini demi nasib rakyat manusia indonesia",Negatif,Negatif
"kasihan negeri ini dapet wapres, spt dia. produk ngakalin sak negeri , ambisius karena bapakku presiden. yach, aji mumpung. bener katamu, tak kan terulang lagi, makanya kamu manfaatkan ambisimu buat negeri ini jadi kacau. produk haram konstitusi.",Negatif,Negatif
ga sempet nonton baca komen dulu aja dah.. setelah baca komen gw punya kesimpulan konten ini isinya stand up komedi.. bener gak sih?,Negatif,Negatif
cuma mau bilang kenapa yg komen negatif banyak yang gak punya subscriber. kira bot bukan ya? padahal sbnrnya ini postingan positif. mari saling dukung bukan menjatuhkan.,Negatif,Negatif
lebih suka lihat komen lucu lucu 😅,Positif,Positif
indonesia keren untuk rakyatnya apabila wapresnya bukan fufufafa,Positif,Positif
ternyata arti adalah dua duanya sedih,Netral,Netral
"contoh konten kreator generasi muda yang dipuji tak wajar dihina baru benar. semangat terus bikin video, saya akan selalu hadir untuk memberikan jempolku, ke bawah 🙌",Positif,Negatif
"yg pandai team pembuat you tube, gibran tinggal baca",Netral,Netral
bonus demografi.. lucu lucu,Positif,Positif
ky ikut uji nyali...g kuat🖐️,Positif,Positif
"udh monolog dan baca teks lagi, dialog dong ke anak muda datangi kampus tunjukkan kemampuanmu spy bisa dicontoh oleh mrk.",Negatif,Negatif
tidak punya rasa malunya sangat kuat lucu,Positif,Positif
makin banyak yang komen... makin fyp ni video lucu,Positif,Positif
"gibran anak muda nyang bisa jadi wapres, perpaduan keberuntungan dan prestasinya. anka muda lain sebaiknya melihat secara positip, jangan suka nyinyir ! itu tanda tak mampu",Positif,Positif
"gak ada poinnya gak ada bobotnya. omong gak ada isinya, blok goblok",Negatif,Negatif
saran saya lebih baik diam.,Negatif,Negatif
ngapain nunggu maju butuhnya sekarang woi fufufafa,Negatif,Negatif
fufubaba fufufini,Netral,Netral
kasihan sebenernya...,Negatif,Negatif
angka pengangguran dan kemiskinan: owalah cik lucu lucu lucu,Netral,Positif
mon maap nonton ini cuman buat bantu pencet tombol dislike lucu,Netral,Netral
pendidikan gratis+kesehatan gratis. india sudah bisa cek puttaparthi-andra pradesh-bharatheya (india),Netral,Netral
mulyono banget lucu lucu lucu,Positif,Positif
gila komentarnya gak ada yang positif,Negatif,Negatif
luar biasa ! kosong lucu,Positif,Positif
taiiiii g kurang lebih,Negatif,Negatif
hahshahahahsha lawak,Negatif,Positif
"luar biasa pemimpin masa depan, pantas banyak yg iri",Positif,Positif
presiden terburuk sepanjang sejarah indonesia jokowi...!👿👿👿👿,Negatif,Negatif
tong kosong berbunyi nyaring.. nyaringnya gak jelas blas..,Negatif,Negatif
berkat bapak dan paman.,Positif,Positif
dislike nya kok gak nampak ya hahaha,Negatif,Negatif
kosong,Negatif,Negatif
gw kesini utk like komen doank kgk like videonya aokwokwk,Netral,Netral
perasaan sakit kalah di pilpres rupanya lom hilang dari mereka.....kasihan lo semua....,Negatif,Negatif
point nya apa,Negatif,Negatif
"mau perang ini, malah ngomongin ginian, bantuin mikir presiden kasih konsep apa ke,malah ngomongin ginian rayat sudah tau pa kalo yang ginian mah kocak bener",Negatif,Negatif
hilih.. mbuh..,Netral,Netral
inget lagu slank ' gemerlap kota'....,Positif,Positif
super masterpice kempong nya,Positif,Positif
bangundulu mas baru koar kampanye,Netral,Netral
bencana demografi dengan bonus demografi potensinya sama woy,Netral,Netral
hahahahhahahahahahahaha,Positif,Positif
kok dislike nya gabisa diliat sedih,Negatif,Negatif
wkwkkkkkk,Negatif,Negatif
betul banget yuk semangat buat kalian sebagai bonus demografi ❤❤❤,Positif,Positif
*_buah jatuh tak jauh dari pohonnya_*,Positif,Negatif
"hujatan akan membuat mu semakin terbuka dan kuat mas, semangat mas gibran💪",Positif,Positif
beli dimana like itu ya...?,Netral,Netral
ternyata yang komen negatif adalah jumlah penduduk sdm rendah di indonesia. otak aja gak di pake saat lihat video ini. mending skip wahai sdm rendah. lu gak bakal faham apa itu demografi,Negatif,Negatif
aura tololnya melebihi %🎉,Negatif,Negatif
bismillah.. harus banyak bersabar jadi warga konoha..,Netral,Netral
"udah lh gak usah hujat lucu pas bagi bagi duit waktu calon. pada nerima semua,,,mangapp",Positif,Negatif
prabowo gibran periode❤❤❤,Netral,Netral
hell na💀💀💀,Positif,Negatif
baru kali ada wapres gak dihargai rakyatnya 😅,Negatif,Negatif
setuju pak wakil presidenku bagus bagus bagus,Positif,Positif
"oposisi sama buzzer george soros diemin aja mas gibran, tetep fokus bikin indonesia survive ditengah guncangan perang dagang dan perang itu sendiri",Netral,Netral
bilang apa sih?,Negatif,Negatif
produk nepotisme terbaru bagus bagus,Positif,Positif
gila komentarnya gak ada yang positif,Negatif,Negatif
lengser lee buat vidio pelanga pelongo,Netral,Netral
berak,Negatif,Negatif
bangundulu mas baru koar kampanye,Netral,Netral
"saran mungkin pak, team nya perlu di tambah gajinya dari pajak rakyat supaya lebih keren lagi lucu lucu lucu",Netral,Netral
bonus dapat rakabuming,Netral,Netral
ngebaca pak? lucu lucu lucu lucu lucu,Positif,Positif
kenapa gak ngikutin cara kerja bapak nya,Negatif,Negatif
pendidikan gratis+kesehatan gratis. india sudah bisa cek puttaparthi-andra pradesh-bharatheya (india),Netral,Netral
"gila sih mental yg punya akun kuat banget, tapi sadar diri lebih penting ktimbang mental kuat saat ini lucu",Positif,Positif
fura fura faham falelu,Positif,Positif
"iya, dislikenya emang bisa di sembunyiin? colx lihat di reels ig tdi pas gua cek iya ngk kelihatan",Netral,Netral
"gib padahal gak perlu bayar like, minta aja ke pihak youtube pasti dikasih like berjuta juta, kalau youtube gak ngasih suruh hercules aja dateng ke kantor youtube lucu lucu lucu",Netral,Positif
ajurrrrrrrrrrrrrrr.,Positif,Negatif
syahrini meninggalkan obrolan,Netral,Netral
bonus paman mk,Netral,Netral
seriusan menit kok serasa jam ya🤭,Positif,Negatif
wi wok de tok. not onli tok de tok. .. wi wok de tok. not onli tok de tok. .. wi wok de tok. not onli tok de tok. ..,Negatif,Negatif
njiiirrr komen nya pada ngga suka semua lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu lucu,Negatif,Positif
gye yakin kalau bukan karena bapake dan omnye mana bisa dia jadi seperti skrg,Netral,Negatif
"iya, dislikenya emang bisa di sembunyiin? colx lihat di reels ig tdi pas gua cek iya ngk kelihatan",Netral,Netral
brief yg bener,Positif,Positif
"nontonnya dicepetin jadi , biar nyaman",Netral,Negatif
taik semua lucu,Positif,Positif
point nya apa,Negatif,Negatif
siapa yg kesini cuma mau dislike senang,Negatif,Negatif
baru tau ada kyk ginian dari raymond chin hhhh iya lagi editingnya mirip hhhhhh sian ray😅,Netral,Netral
calon presiden masa depan.,Netral,Netral
"rb komen isinya ngataain dia, tapi kok bisa kepilih ya kemarin, ini yg milih siapa dan dimana skrng yg milih coba?",Negatif,Negatif
bonus dapat rakabuming,Netral,Netral
sehat beban apbn🙏,Positif,Positif
ga nyambung coy bagus bagus bagus,Positif,Positif
"terkejut aku ke sini cuma baca komentar ny aja lucu , krn bnyk mantan jenderal yg mau lengserkan ny",Negatif,Negatif
"suara % pada ngumpul semua disini, sakit hati ko gak ilang-lilang... klo gibran dan dedy mulyadi maju jadi capres dan cawapres bisa bisa pada kena stroke...",Negatif,Negatif
siap pak wapres,Netral,Netral
mata mu lirik ke mana mas? hahaha masih aja nyontek naskah kaya bpakmu,Negatif,Negatif
artificial intelligence vs natural stupidity,Netral,Netral
buzzerrrr g berkutik 😅,Negatif,Negatif
juta lowongan kerja bagaimana kabarnya,Netral,Netral
"bocah-bocah kosong ❌ wakil"" kosong ✅",Negatif,Negatif
juta lapangan pekerjaan .cicil kek..malahmaen chat sama ai,Negatif,Negatif
"komanya kurang satu, pangeran mahkota.",Negatif,Negatif
jabatan hasil buah bapak ku >>>>>>> katanyaa tapi nyata,Netral,Netral
"maju terus bung gibran. biarkan anjing menggonggong kafilah berlalu. yang nyinyir ,iri dan dengki, dipastikan orang yg tidak ada kemampuan dan integritas. yang penting bung gibran adalah wapres yg dipilih oleh juta lebih rakyat indonesia.🎉🎉❤❤",Positif,Negatif
buktiin aja mas. intinya tolong ciptakan bnyak lapangan kerja biar bonus demografi bukan malah mnjadi beban,Netral,Negatif
"saya akan mengakui mas gibran sebagai wakil pesiden indonesia, kalau mas gibran berani diskusi terbuka di kampus kampus untuk membahas issue negara dan permasalahan global.",Netral,Netral
fufubaba fufufini,Netral,Netral
negara milik keluarga,Netral,Netral
maaf numpang tanya..toilet arahnya kmna ya?trrimaksh,Netral,Netral
"luar biasa pemimpin masa depan, pantas banyak yg iri",Positif,Positif
like aja bisa dibeli apalagi -suara rakyat- subscriber,Positif,Positif
beneran kosong bjr,Negatif,Negatif
