userName,score,at,full_text,kategori
Handi Nuari (Nuariez),1,2025-05-11 08:33:56,"ini kenapa tampilan awal halaman jadi berubah? menu awal pada pindah kemana? banner promosi, menu gopay, menu pembayaran dll pada hilang gak bisa diakses...",Negatif
Aga Damian,5,2025-05-11 08:30:05,oke tidak ribet,Positif
Dwi Agustawan (villa 77 jimbaran),1,2025-05-11 08:12:38,ga beres tokopedia ini. sy belanja dan di batalkan kirim oleh penjual. tpi saldo sy tertahan dari tgl 19 april senilai 10jtan. dan sy ga bisa belanja jadinya. complain hanya di balas ai. tidak di hubungkan cust service. dan akhirnya smpai skrng uang blm kembali,Negatif
Ipank Putra,3,2025-05-11 07:37:13,Di sini mayan lengkap sih dari pada toko lainnya tapi yang gak aku suka adalah pengiriman lama pesan dari tanggal 5 sampai tanggal 11 blum sampai,Netral
Zaman Aneh,5,2025-05-11 07:09:54,Lengkap barangnya,Positif
Mr T,1,2025-05-11 06:47:08,"Update terbaru membuat harga produk menjadi langsung harga setelah diskon dengan voucher tokped tanpa mencantumkan harga asli dari penjualnya dan menu voucher diskon gak bisa dihapus ya kali iphone 13 16 juta dicoret jadi 8juta? ternyata diskonnya cuma 50rb dari tokped, wajarnya kan 8.050.000 bikin ribet ngitung lagi",Negatif
Budi Anthoni Franklyn Napitupulu,1,2025-05-11 05:49:12,🤣🤣🤣🤣🤣,Negatif
Edi,2,2025-05-11 05:45:28,"setelah checkout tdk bisa ganti metode pembayaran, harus batalkan dulu dan setelah batal, daftar keranjang kosong dan harus cari lagi.",Negatif
Abdul Aziz Muslim,5,2025-05-11 04:27:21,proses cepat dan mudah,Positif
Iyus Wxb,5,2025-05-11 04:14:02,ok,Positif
Yefi nuraufa,5,2025-05-11 04:12:58,goodgoodgood,Positif
Globe Heart,5,2025-05-11 03:35:54,ok,Positif
Christof Justin Hutabarat,5,2025-05-11 03:23:58,sangat membantu,Positif
Lavenzo Lavenzo,5,2025-05-11 02:50:05,amanah,Positif
Zaenal Arifin,4,2025-05-11 02:43:11,OK,Positif
kepin sola,1,2025-05-11 02:39:35,"sicepat lemot banget min, ganti ekspedisi aja",Negatif
azam Mochammad,1,2025-05-11 02:29:54,"saya membatalkan pembelian yang sudah saya bayar ,saldo tidak kembali dan tidak ada tanggapan sama sekali dari costumer service",Negatif
Nugroho Adi,4,2025-05-11 02:01:39,mantul,Positif
Dani,5,2025-05-11 01:55:24,SANGAT MEMBANTU,Positif
adeon 13,1,2025-05-11 01:36:33,"Kurir rekomendasi lama parah, katanya system canggih, tapi malah di putar putar,, dari jakarta ke kota saya itu biasanya cuma sehari, sekarang dari jakarta ke kota saya masa butuh 6 hari, tolol banget systemnya dan keterangannya juga kurang jelas, kalau terus seperti ini, saya malas pakai tokopedia lagi",Negatif
Wanono aza,5,2025-05-11 00:57:31,elektronic,Positif
IPIK IPIK,1,2025-05-11 00:20:51,apk tolol penjual ngirim barang ga ada blm sampe udah komplain dll di jawab sama bot Ampe dana di kirim ke penjual mikir dongo,Negatif
PC Bodol,3,2025-05-11 00:13:24,gimana ngak bisa pilih kurir spesifikasi... pindah sebelah klo gitu,Netral
Ipan Ipan,5,2025-05-11 00:07:56,transaksi mudah,Positif
Iwan Sibuyung,1,2025-05-11 00:07:03,"ini gimana ceritanya ya, ko saldo dana saya hilang ada transaksi ke Tokopedia? sedangkan saya tidak pernah transaksi ke Tokopedia,",Negatif
Erna Wati,5,2025-05-11 00:00:20,mantaaf,Positif
Rai Official,5,2025-05-10 23:49:40,"sangat membantu,cuma sekarang aplikasinya jadi lemot",Positif
Selna Austin H,5,2025-05-10 23:46:56,"Mana voucher diskon yang kau janjikan itu ha, peeeet tokpeettt",Positif
Sündenjäger 0000,1,2025-05-10 23:14:50,Banyak toko dengan produk ribuan hasil duplikasi tanpa sepengetahuan pemilik toko asli hal ini benar2 sangat merugikan,Negatif
Yulianto Saputro,5,2025-05-10 23:08:58,ya oke lah,Positif
Arif Rahmat,1,2025-05-10 22:55:55,pelayanan buruk sekali tidak ada kejelasan saya pesan barang tidak sampai disuruh menunggu untuk pengembalian dana sampai 3 bulan lebih sampai sekarang pun tidak ada kejelasan,Negatif
Suhandik Bojonogoro,5,2025-05-10 22:53:35,Dengan toko pedia semua masalah dapat mudah mendapat solusi,Positif
Lukman Haqim,2,2025-05-10 22:53:32,potongan/voucher diskonnya pelit parah..,Negatif
Adit Hermawan,4,2025-05-10 22:52:04,"saran kepada developer untuk tampilan awal lebih baik di balikan seperti sebelumnya dikarenakan untuk mencari seperti pembelian pulsa, gopay,gopaylater dan sebagainya kita sebagai pengguna kesulitan mencarinya. terima kasih",Positif
Eliana Faizal,1,2025-05-10 22:47:59,"Makin kesini makin kurang berminat, dari tampilan menu akun, keranjang, dan transaksi berlangsung. Tidak ada kupon diskon/cashback. Lebih suka tampilan saat 2023.",Negatif
okky prasetya,2,2025-05-10 22:13:20,"SETELAH DI UPDATE UI HOMENYA MAKIN ANEH, MANA MENU PILIHAN PEMBAYARAN BPJS,TOKEN LISTRIK, PULSANYA. SIAPA SIH YG NGIDE ILANGIN TAMPILANNYA. DIKIRA BIAR FRESH GT??? KGAKKKKKK!!! KEMBALIIN UI LAMA AJA",Negatif
21.013 Donny Samudera,2,2025-05-10 22:04:19,"Tolong dong tokped kalo cari partner kerja sama dgn kurir jangan asal asalan! liat nih masa partneran sama id express kurir nya maling paket barang saya,seolah olah sudah di foto dan barang tiba untung ada cctv di rumah.",Negatif
Siti Mariam,5,2025-05-10 21:52:42,"Mantap ,,, olshop yg rekomendasi",Positif
Dafit Ageng Setiawan,1,2025-05-10 21:52:14,"versi terbaru 3.311.0 tampilan HOME nya jelek. cari menu pembayaran PLN, PDAM, & isi pulsa ga ada. kembalikan tampilan HOME yang dulu. parah designer UI nya",Negatif
Alexandro Jr,5,2025-05-10 21:45:44,good,Positif
Agustin Ragil,5,2025-05-10 21:36:03,top,Positif
Gavin Pranata,1,2025-05-10 21:09:07,"CSnya pada kemana sih, masa contact dari pagi ke malem ga ada respon. sedangkan pesenan ada yang bermasalah. Pajak doang gede , tapi pelayanan cs busuk",Negatif
Miky Tito,1,2025-05-10 21:08:01,aku kasih bintang satu ksrena kerjasama sama anteraja. kurir lelet kok dibuat kerjasama. sebenarnya orang juga bakal mau djbayar mahal kalo kualitas bagus. ini kurir lelet kok dipakai,Negatif
Natasafira Putri Malika,1,2025-05-10 21:04:09,"anehh bgt paket dtg costumer lambat dkit balesnya lgsg dikembaliin paket nya, g bgt apk ini",Negatif
Magico Cavin,1,2025-05-10 20:58:58,"semua prosesnya serba lambat, penarikan dana refund diproses 2x24jam gajelas, kenapa harus pake foto ktp njir buat penarikan dana refund",Negatif
Zz DlL,1,2025-05-10 20:49:44,"aplikasi buruk, jangan di instal. promo hanya tampilan jika checkout maka harga asli yg dibayar, rugi sudah top up jauh2 malah harga ga sesuai",Negatif
Fenixx Queen,4,2025-05-10 20:49:22,"masalah di sama pemilihan metode pembayaran, selalu error",Positif
Arifudin,1,2025-05-10 20:41:30,males banget mau batalin aja nunggu sana respon kalo ngga respon tunggu 5 hari lagi padahal pengin beli sekarang biar datang cepet,Negatif
yuana haryono75,5,2025-05-10 20:39:46,Tokopedia emang membantu masyarat,Positif
Risky,1,2025-05-10 20:23:22,"voucher bonus, kenapa tidak bisa di pakai apa jangan jangan emang gabisa?. tolong penjelasan ny min kalau misal ini bug tolong perbaiki",Negatif
Wowo Taqwa,1,2025-05-10 19:55:37,"mohon di koreksi, kenapa saya tidak dapat free ong sama sekali... aneh",Negatif
Doni Prasetiyo,1,2025-05-10 19:49:19,"pilihan pembatalan harus menunggu respon penjual, sedangkan penjualnya tidak merespon. saldo kembali pun harus nunggu lama padahal mau buat co di toko yg lain.",Negatif
Zainal Arif,2,2025-05-10 19:39:55,tampilannya kok jadi kayak gini?tampilan home dan pilihan menu nya mana semua ini?,Negatif
angga putra kusuma,5,2025-05-10 19:39:29,good job,Positif
Aprilyanti,1,2025-05-10 19:37:42,"Heran dengan sistem tokped ke seller tuh gimana si.. order barang sesama kota pontianak,udah bbrp kali seller tidak kirim barang ( kena bbrp kali dr seller yg berbeda) Padahal notif diproses tapi barang tidak dikirim sampai kena batal otomatis.. Jadi malas mau pesen lagi..",Negatif
gue ernes,1,2025-05-10 19:37:05,"mau isi saldo toped ribet gk ky dishope, dan sisa pembayaran gk masuk saldo toped...",Negatif
Quenzi liee,5,2025-05-10 19:33:05,"Tokopedia, Gopay. love you😻😻😻",Positif
DILAH CHANRIAL,1,2025-05-10 19:18:16,"Saya pengguna lama Tokopedia dari tahun 2018, hingga sekarang ini! Tapi, saya sudah tidak belanja lagi di Tokopedia, karna gak seenak dulu! Jujur, Tokopedia untuk sekarang² sudah kehilangan identitasnya!! Kurangnya disiplin & konsisten, ciri identiknya memudar!! Yang saya liat², aturan² konyol selalu bermunculan!! sebagai referensi, coba liat Shopee? mereka disiplin & konsisten sampai sekarang ini, ciri khasnya tdk berubah, walaupun sedikit saja yang diubah & dikurangi!! Ayo perbaiki lebih baik",Negatif
Alex Setiawan,3,2025-05-10 18:42:06,"Semakin update sering banget ,semakin buruk tampilan dan systemnya, kalah sama toko sebelah",Netral
Herry Cs,5,2025-05-10 18:36:35,Ok,Positif
Agus Sudrajat,4,2025-05-10 18:34:07,kenapa ya sering crash..apakah hp saya?,Positif
Aziz Dragneel,1,2025-05-10 18:33:05,aplikasi belanja online terburuk saat ini,Negatif
Trinand 123,1,2025-05-10 18:19:08,"KEBANYAKAN APLIKASI, kupon promo dan gratis ongkir sudah tidak ada. Efek lebih terfokus ke Tiktok Shop? Lama-lama uninstall deh",Negatif
slamet hari siswanto,5,2025-05-10 18:07:01,"cepat mudah gak ribet, semoga aman di DANA",Positif
Mrs Tò,5,2025-05-10 18:02:36,Tokopedia👍,Positif
HN,1,2025-05-10 17:59:46,"Beli baju di tokopedia , pas terima kaget ukurannya gede banget, pas dicek ternyata ga sesuai deskripsi, penjual salah dalam memberikan keterangan di detail size, akhirnya ajukan retur karena bajunya kebesaran, cuma lucunya masa pembeli yang musti tanggung sendiri ongkirnya ke penjual, padahal dalam hal ini jelas penjual yg salah dalam mencantumkan detail size di deskripsi produk, tapi giliran mau retur, masa pembeli yg dirugikan. Mending belanja di Shopee deh kapok gw sama tokped !",Negatif
Andriana Lailiawati,1,2025-05-10 17:59:43,"aplikasinya jelek, kurang d kontrol, bnyak orng2 penipu yg brjualan d toped, shrusnya d kontrol",Negatif
Rochima Nur Syahbani,1,2025-05-10 17:48:56,"penguriman lama bisa smpe seminggu, pdhl cuma beda 1 kota aja",Negatif
Frenal Renal,1,2025-05-10 17:41:28,cs ny robot jadi ga jelas. di tanya apa jawab nya apa. guoblok,Negatif
arieffianto wibowo,2,2025-05-10 17:40:55,kayaknya sudah waktunya pindah ke aplikasi lain ongkirnya sudah ngak masuk akal,Negatif
Alun Samudra,2,2025-05-10 17:39:47,sementara pindah sop*** dulu...di sini ninja express gak komitmen kirim sesuai tenggat waktu tapi komplain diabaikan admin tokped,Negatif
Nor Ifindi,3,2025-05-10 17:32:21,perbaiki pelayanan tokonya termasuk kurirnya,Netral
Barat Asyekk,5,2025-05-10 17:24:55,"Bagus belanja Disni aman, amanah dan pastinya barang terjamin bagus",Positif
Su Harsono,1,2025-05-10 17:21:35,"Pesanan di batalkan dengan alasan tidak memenuhi syarat dan ketentuan, namun saya bahkan tidak melanggar syarat dan ketentuan tapi tetap saja pesanan tidak bisa di proses",Negatif
Raisya Gultom,5,2025-05-10 17:13:58,sejauh ini masih oke thanks yaa,Positif
Ben Redmi,5,2025-05-10 17:07:56,selain buat toko tambahkan review untuk ekspedisi nya juga,Positif
Mulia HasibuanSiak,5,2025-05-10 17:03:42,layanan terpercaya,Positif
Iqbal Syauqie,5,2025-05-10 16:47:45,gk ada ongkir 👍,Positif
sapto abdullah,5,2025-05-10 16:38:35,"sangat sesuai dan memuaskan, terimakasih",Positif
Dicson Girsang,1,2025-05-10 16:34:11,gak suka aja...,Negatif
Ananda umay,4,2025-05-10 16:07:32,"terlalu mahal biaya layananan 3000, d alfa 2500",Positif
Ali,4,2025-05-10 16:07:00,tingkatkan kualitas pelayanan dan informasi kepada konsumen,Positif
Lilis Prihartini,1,2025-05-10 16:05:01,banyak bet iklannya anj,Negatif
Aldona Panca,1,2025-05-10 15:17:13,GILAAA RESPON DARI TOKOPEDIACARE LAMA BANGET. HAMPIR 2 HARI GA ADA RESPON. BEDA BANGET KAYA APLIKASI SEBELAH,Negatif
winda hanifah,1,2025-05-10 15:04:00,"gw pesen barang dr tgl 5 sampe skrg gag sampe2, tumben2an nih biasanya besokannya sampe, gw liat pertama estimasi tgl 11 donk sampe nya selama itu, tgl 8 barang udah dibawa kurir tp ternyata gw cek malemnya barang di balikin lagi dan akan di kirim ulang tp sampe skrg status gag update2 dan barang gw gag di kirim2 juga dan gw cek lagi hari ini masa estimasi nya di perpanjang sampe tgl 13, yg bener aja bos.. gw harus nunggu selama itu bos.. gw beli karena butuh bos bukan dikasih delay lama.",Negatif
Adi Nur,4,2025-05-10 15:00:28,knp saya tidak bisa daftar TokopediaCard,Positif
Bintang Narisky,5,2025-05-10 14:40:03,mantap,Positif
dharma UD TRUCKS,2,2025-05-10 13:51:02,Saya sepakat dengan deskripsi sebelum saya bahwa expeditur itu juga sebuah sumber masalah ... walaupun seakan akan ada diskon ongkir atau free sekalipun ... tetapi bila barang yang dibeli itu hanya muter muter disekitaran ... dan bahkan Tokopedia menjembatani dengan tambahan waktu hari ... sungguh sangat disayangkan dan tidak belajar dari aplikasi lainnya yang sepi gegara hal yang sama ... harusnya anda berubah dan bisa bersikap ...,Negatif
Robi Robi,5,2025-05-10 13:42:59,ok,Positif
Santika Devi,1,2025-05-10 13:26:06,"sangat sulit menghubungi CS Tokopedia,penanganan masalah pada barang rijek yg mau di retur jelas kesalahannya seller,itu pun sangat lama untuk menunggu keputusan kaya ga ada adminnya",Negatif
franky nataluna,5,2025-05-10 13:22:25,5 bintang bicara *keluhan dari pembeli/coustemer lebih di GERCEP *HOTLINE no tlp/hp-WA untuk pengaduan dapat di tampilkan -PENGADUAN LEWAT CS / KOMPUTER TIDAK MENOLONG THX,Positif
Azlan Rizwan,5,2025-05-10 13:12:32,okkeey bagus,Positif
Rusdi Antang,5,2025-05-10 12:58:39,semoga Tokopedia kedepannya semakin terbaik,Positif
Ya Yan,1,2025-05-10 12:55:00,"keamanan kurang, sarang penipu. kalo sudah order dan bayar setelah lewat 1 jam tidak bisa dibatalkan sepihak 👎 ribet sekali harus nunggu konfirmasi dari penjual. kalo penjual yg kurang waras dibiarin aja lama2 pesanan nya sampe batal otomatis. gila ini sistem tokped ribet! hati2 mau belanja di sini tokopedia care tidak bisa menyelesaikan masalah.",Negatif
Eric Desada,3,2025-05-10 12:39:54,Beli produk tembakau di persulit harus di web. Kn di profil ada keterangan umur berapa yg punya akun. Bahkan sampai beli kertas linting aja susah banget. Fitur toko saya ternyata pindah di fitur transaksi. Ok lah,Netral
Dwi Cahyo Mudito,1,2025-05-10 12:28:11,setelah diupdate malah jadi aneh? tidak ada homebar untuk pembayaran tagihan dll?? ini gimana ceritanya,Negatif
Yanto Haryanto,1,2025-05-10 12:21:49,Tolong lah iklan ganggu terus ...ngapain sih iklan ini ada terus di aplikasi lain....pusing guwa,Negatif
Lailo Jiyaa,1,2025-05-10 11:57:09,estimasi kapan datengnya kapan aneh,Negatif
zuhud net,1,2025-05-10 11:40:48,dulu bagus. sekarang jelek banget...... jangan pada download lah... percuma,Negatif
denox denoxd,5,2025-05-10 11:18:48,mantaapppp gan ..,Positif
Abdul Wahab Wahab,5,2025-05-10 10:58:36,"Belanja mudah, semua kebutuhan tersedia walaupun yg susah dicari",Positif
Shinta Dewi,1,2025-05-10 10:57:29,"banyak yang jualan nipu ,toko pedia ,lebih berpihak kepenjual dari pada pembeli",Negatif
Login Epep,5,2025-05-10 10:52:45,Bagus,Positif
Habib Muhamad Furqon,4,2025-05-10 10:50:11,kenapa dihandphone saya error terus ya. ga mau nge buka?,Positif
Thomas Wilson Sujanto,2,2025-05-10 10:47:55,"tolong laa jgn maksa banget buat updet , ganggu banget dah , sumpah ....",Negatif
Hector Brilian,5,2025-05-10 10:44:30,baru pertama kali belanja online di Tokopedia. semoga bisa membantu saya,Positif
Nazril iman,5,2025-05-10 10:36:02,Gk bisa di download gk nyaman bgt ni apk,Positif
Adehermawan Hermawan,5,2025-05-10 10:21:04,mntf..bnr nih toko pedia..sngt cpt prosesnya...sngt membantu sekali,Positif
JULSEV ALPER,1,2025-05-10 10:07:21,gratis ongkir nya kurang,Negatif
Galuh,1,2025-05-10 09:56:27,kenapa message nya aneh. beberapa message saya ke seller hilang gk jelas. sudah dikirim pun hilang kenapa ini banyak bug nya? apakah data chat saya tidak tersave? apakah budget servernya dikurangi? apakah gk punya duit untuk sewa server? oiy untuk beli beli voucher menunya ilang gk jelas. ini kemana masa harus di cari lewat search,Negatif
shaden say,1,2025-05-10 09:52:24,"Hati2 Balnja Di Tokped,Komplain Akan M3ndukung Seller Nakal",Negatif
bayu Sinatra,5,2025-05-10 09:50:49,mantap dan sangat memuaskan,Positif
Nurul Rahma,5,2025-05-10 09:39:52,harga barangnya terjangkau dan kualitasnya cukup bagus,Positif
adhy wong,1,2025-05-10 09:33:17,"Paling suka nuduh pelanggan melakukan pelanggaran-pelanggaran, kalau menurut mu pelanggan melakukan pelanggaran-pelanggaran ya jangan dikasih voucher. bukan dikasih voucher tapi akun tidak memenuhi syarat. ntar nyusul Bukalapak nangis. contoh shopee",Negatif
Dicky Kurniawan,1,2025-05-10 09:27:23,"kadang kadang expedisi nya ngeselin dan lama , ampun tokopedia",Negatif
Rude Aquarius,5,2025-05-10 09:19:03,sangat puas,Positif
Isoal gameBotts,1,2025-05-10 09:10:01,"tokopedia asu , terus terang tambah ruwet",Negatif
Taufik Ibrahim,5,2025-05-10 09:00:25,sangat membantu,Positif
Budi Haryanto,3,2025-05-10 08:45:21,kenapa sekarang tidak bisa cekout,Netral
Hadi Purnama,1,2025-05-10 08:31:55,"pengiriman sameday hapus aja. katanya pemesanan sebelum pkl 16.00 bisa dikirim hari itu juga, taunya besoknya! sama aja nipu konsumen yg ingin barangnya hari itu juga dikirim, udah ongkir mahal barang ga dikirim tokped jd tambah parah",Negatif
Percetakan sya'ban printing Mandala (Sya'ban printing mandala),5,2025-05-10 08:30:44,mantep,Positif
Bung Nahri,3,2025-05-10 08:20:12,"update terbaru kurang bagus. transaksi, wishlist, dll udah pindah ke kolom profil. Eh kolom profilnya kalo kita udh scroll sampe bawah susah banget untuk kembali k atas. harus scroll manual lagi. ribet yg dulu lebih ringkas dan mudah loh padahal",Netral
nizar 07,1,2025-05-10 08:19:58,"kekurangan tokped ini selalu minta update, kalau tidak di update tidak bisa dibuka",Negatif
Coach Rifki,3,2025-05-10 08:01:21,Semakin jelek. Saya transaksi isi gopay dari sebuah mobile banking error samapi skrng uang saya belum balik2. waktu itu juga pembelian kuota data dari toped juga error toped gopay error di akun saya. 👎 syukur Alhamdulillah sudah berhasil. saya tambahkan jadi 4 bintang dari bintang 1,Netral
Arif muhammad Iqbal,4,2025-05-10 07:56:00,batal otomatis terlalu lama melebihi estimasi tiba pesanannya kadang ada beberapa toko yg otomatis memproses pembelian dan gk dilayani selama beberapa hari sampai tanggal batal otomatis dari sistemnya saya yg bayar pake gopay itu merasa dirugikan karna uang tertahan dan batal otomatis pun harus chat penjual dan kebetulan penjualnya tidak membalas chat sampai batal otomatis saya udah 2x ngalamin hal seperti ini sebagai pembeli yg membayar duluan saya merasa dirugikan di sini,Positif
Sukri Flas,5,2025-05-10 07:48:52,saya sangat senang belanja di tokopedia,Positif
