ulasan,kategori,clean
"aplikasi ok,",Positif,aplikasi
mantap aplikasi bagus selama berbelanja selalu lancar dan gak ada masalah sama sekali,Positif,mantap aplikasi bagus lama belanja selalu lancar gak masalah sama sekali
debesttt,Positif,debesttt
mantap deh pokoknya,Positif,mantap deh pokok
belanja murah ..barang orie semoga kedepannya bisa langganan terus,Positif,belanja murah barang orie moga depan langgan terus
"aplikasi paling favorit buat belanja online, sering dapet gratis ongkir bahkan diskos gede gedean, ga habis pikir ada tempat belanja online yang se gong ini, love u deh buat apk shopee ini",Positif,aplikasi paling favorit buat belanja online sering dapet gratis ongkir bahkan diskos gede gede ga habis pikir tempat belanja online se gong love u deh buat apk shopee
kebijakan ke sellernya ga waras,Negatif,bijak sellernya ga waras
keren,Positif,keren
sangat berguna,Positif,sangat guna
oke sangat bagus,Positif,oke sangat bagus
Proses pengembalian dana terlalu bertele tele dan memakan banyak waktu.. tidak ada bintang tambahan,Negatif,proses kembali dana terlalu tele tele makan banyak waktu bintang tambah
Apk anj gak bisa bikin alamat,Negatif,apk anj gak bikin alamat
ok,Positif,
sangat mudah,Positif,sangat mudah
"Aplikasi shopee memang best, dan sangat membantu, terimakasih shopee sudah meringankan urusan ku🙏",Positif,aplikasi shopee memang best sangat bantu terimakasih shopee ringan urus ku
online shop yang bisa memenuhi kebutuhan anda,Positif,online shop penuh butuh
mantap,Positif,mantap
suka,Positif,suka
sesuai pesanan bagus dan cepat,Positif,sesuai pesan bagus cepat
"belanja lebih mudah,bermacam2 yg d butuhkan ada,,??harga terjangkau,,",Positif,belanja lebih mudahbermacam yg d butuh adaharga jangkau
shopee memang mantap,Positif,shopee memang mantap
mantap,Positif,mantap
suka belanja di sini,Positif,suka belanja sini
cukup baik,Positif,cukup baik
"Shopee sekarang semakin buruk, setelah fitur pengiriman jnt express di tiadakan skrang malah fitur cod di tiadakan juga. jadi lebih nyaman pakai aplikasi sebelah buat belanja online",Negatif,shopee sekarang makin buruk fitur kirim jnt express tiada skrang malah fitur cod tiada jadi lebih nyaman pakai aplikasi belah buat belanja online
mntp pool,Positif,mntp pool
bagus saya suka belanja dishopee,Positif,bagus suka belanja dishopee
apk bagus sih cuma kalau masalah toko Shopee nyaaaa😭😭😭,Positif,apk bagus sih cuma kalau masalah toko shopee nyaaaa
pesanan sudah diterima tapi labat dari. jadwal pengiriman....trimksh,Positif,pesan terima labat jadwal pengirimantrimksh
sangat membantu,Positif,sangat bantu
sangat mudah dan murah untuk belanja online,Positif,sangat mudah murah belanja online
aplikasi yg bagus,Positif,aplikasi yg bagus
"Alhamdulillah sangat terbantu meskipun terkadang ketika merubah metode pembayan kok harga jadi sangat banyak selisihnya, kenapa ?",Positif,alhamdulillah sangat bantu meski terkadang rubah metode pembayan kok harga jadi sangat banyak selisih
mantap,Positif,mantap
masa gak ada via dana sih kuno lu anjirrr,Negatif,masa gak via dana sih kuno lu anjirrr
sangat bermanfaat dan saat pengiriman barang sampai tepat wakktu,Positif,sangat manfaat kirim barang tepat wakktu
"tambahin qris dong min, biar ga ribet langsung tinggal scan aja",Negatif,tambahin qris dong min biar ga ribet langsung tinggal scan aja
"setiap buka aplikasinya selalu muncul video di awal, ganggu bngt sih. aplikasinya juga jadi terlalu berat karena banyak fitur-fitur jelek yang ga guna.",Negatif,buka aplikasi selalu muncul video awal ganggu bngt sih aplikasi jadi terlalu berat banyak fiturfitur jelek ga
dk usahh di download dk enak,Negatif,dk usahh download dk enak
baik,Positif,baik
murah meriah😁,Positif,murah riah
good,Positif,good
ok.👍lngsung acc,Positif,oklngsung acc
tolong yg punya. apk di sortir kurirny yg males saya prihatin masa pengiriman barang sudah 2hr di tunda mulu pedagang yang cuma pajang aj,Negatif,yg punya apk sortir kurirny yg males prihatin masa kirim barang hr tunda mulu dagang cuma pajang aj
kadang rusak kadang bagus,Positif,kadang rusak kadang bagus
good,Positif,good
bjnya like new bahan lembut bagus n dpt bonus pula recomended,Positif,bjnya like new bahan lembut bagus n dpt bonus recomended
"Tolong SHOPEE videonya di Filter lah, enak kan ngeliat Barang barang Yang bikin kita mau belli bukannya malah video Tayangan LAPOR PAK mulu yang muncul. Konten kreator barang racun Shopee Malah ketimpah sama video Begitu. PIHAK SHOPEE harus Filter sih Konten begituan.",Negatif,shopee video filter lah enak kan ngeliat barang barang bikin mau belli bukan malah video tayang lapor pak mulu muncul konten kreator barang racun shopee malah ketimpah sama video pihak shopee filter sih konten begitu
"senang bgt bisa belanja di shopee harga sangat terjangkau terutama ongkirnya juga murah, makasih bnyak buat shopee yg mmbuat hari²ku jadi happy, gak perlu kluar rumah buat nyari barang yg unik² cukup di shopee aja.",Positif,senang bgt belanja shopee harga sangat jangkau utama ongkirnya murah makasih bnyak buat shopee yg mmbuat hari jadi happy gak perlu kluar rumah buat nyari barang yg unik cukup shopee aja
sangat memuaskan,Positif,sangat muas
biar bintang yg bicara,Negatif,biar bintang yg bicara
ngebantu puolll yg mager belanja offline,Positif,ngebantu puolll yg mager belanja offline
membantu,Positif,bantu
"tolong lah kalo masuk apk jangan langsung ke live/video, bikin berat saja apknya",Negatif,lah kalo masuk apk jangan langsung livevideo bikin berat apknya
"kali ini saya suka dengan aplikasi ini, gak usah neko2 lah, yang penting bisa berbelanja berapapun tanpa dikenakan biaya ongkir, plus pelayanan ekspedisi yang ramah dan cepat apalagi kalo ada penawaran menarik dari aplikasi saya merasa puas pertahankan 👍👍👍👍",Positif,kali suka aplikasi gak usah neko lah penting belanja berapa kena biaya ongkir plus layan ekspedisi ramah cepat kalo tawar tarik aplikasi rasa puas tahan
suka,Positif,suka
shope no 1,Positif,shope no
Mantap,Positif,mantap
shopee sangat membantu sekali,Positif,shopee sangat bantu sekali
"ini tiba2 akun gw di blokir, ga tau kenapa jdi susah buat masuk ke shopee lagi, udah segala macem cara tetep gabisa",Negatif,tiba akun gw blokir ga tau jdi susah buat masuk shopee udah segala macem cara tetep gabisa
mudah 2 . an tambah bagus ke depan ny & lbh baik lgi utk konsumen,Positif,mudah an tambah bagus depan ny lbh baik lgi utk konsumen
"sangat membantu dikala mager n bingung mesti nyari k toko mna yg kita mau, solusinya shopee praktis buat para emak"" yg mager ke aq🥰🙏",Positif,sangat bantu kala mager n bingung mesti nyari k toko mna yg mau solusi shopee praktis buat emak yg mager aq
Shopee berbelanja mudah dan murah tepat waktu,Positif,shopee belanja mudah murah tepat waktu
Mantaf,Positif,mantaf
Tidak meragukan,Positif,ragu
shopee the best,Positif,shopee the best
mudah cepat dan bersaing ini juga sudah baik semoga kedepannya jadi lebih baik👍 mantap.,Positif,mudah cepat saing baik moga depan jadi lebih baik mantap
bagus untuk membeli saya sudah pesan Dua kali,Positif,bagus beli pesan kali
baik,Positif,baik
mantap,Positif,mantap
saya suka berbelanja disini karena disini sesuai dengan ekspektasi dan harga terjangkau,Positif,suka belanja sini sini sesuai ekspektasi harga jangkau
bagus buat belanja online kecuali GK pernah belanja sihh😁,Positif,bagus buat belanja online gk pernah belanja sihh
jelek,Negatif,jelek
Terpaksa gw Download karena ada yang gw pesan. Semoga tidak mengecewakan,Positif,paksa gw download gw pesan moga kecewa
nyaman belanja d.shopee,Negatif,nyaman belanja dshopee
bagus,Positif,bagus
shopee bagus lengkap mau apa aja ada josss.,Positif,shopee bagus lengkap mau apa aja josss
transaksi mudah,Positif,transaksi mudah
shopee amanah,Positif,shopee amanah
"kebanyakan iklan & tak sesuai iklannya ""gratis ongkir""",Negatif,banyak iklan tak sesuai iklan gratis ongkir
shopi selalu dihati,Positif,shopi selalu hati
payment nya upgrade yuk pake qris biar simpel,Positif,payment nya upgrade yuk pake qris biar simpel
Baik,Negatif,baik
bagus 🤩,Positif,bagus
saya sangat sering di kasih voucher harganya murah murah waktu sampai nya tepat waktu terus,Positif,sangat sering kasih voucher harga murah murah waktu nya tepat waktu terus
bagus aja,Positif,bagus aja
semua baik baik aja,Positif,semua baik baik aja
aplikasi ini sangat membantu trima ksih,Positif,aplikasi sangat bantu trima ksih
is the best,Positif,is the best
ma ntap,Positif,ma ntap
"Cara verifikasi akun dengan KTP sangat sulit, saya menggunakan samsung j1 ace. By :anak Demak",Positif,cara verifikasi akun ktp sangat sulit guna samsung j ace by anak demak
"saya sangat menyukai aplikasi Shopee, adanya aplikasi Shopee kita bisa belanja terus😃",Positif,sangat suka aplikasi shopee ada aplikasi shopee belanja terus
waah keren,Positif,waah keren
"shopee memang mantap walaupun kadang lambat pengiriman kadang cepat juga tergantung wilayah,,pokoknya isthebest lah ..shopee apalagi kurirnya ramah. ramah...pokoknya siiiplah......",Positif,shopee memang mantap walaupun kadang lambat kirim kadang cepat gantung wilayahpokoknya isthebest lah shopee kurir ramah ramahpokoknya siiiplah
"saya ragu"" beli barang",Positif,ragu beli barang
baik,Positif,baik
good,Positif,good
"sangat sekali membantu,namun saya harap dj bantu barang yamg berkualitas dan real",Positif,sangat sekali membantunamun harap dj bantu barang yamg kualitas real
bagus...,Positif,bagus
bagus,Positif,bagus
semakin jaya,Positif,makin jaya
sngt bermaat shopee bgi sya,Positif,sngt bermaat shopee bgi sya
mantap,Positif,mantap
udah kecintaan banget sama shopee wkwkwk🧡,Positif,udah cinta banget sama shopee wkwkwk
Mantap....,Positif,mantap
mantap,Positif,mantap
mantap bgt,Positif,mantap bgt
"sesuai jadwal barang datang dan, tidak rusak.",Positif,sesuai jadwal barang datang rusak
puas belanja di sini,Positif,puas belanja sini
"selama ini oke² aja belanja disini, smpe satu saat mengalami kendala. penjual sengaja ngirim barang ga lengkap pdhl uang udh di tf dan saat itu saya ga sengaja klik pesanan selesai akhirnya dana diserahkan ke penjual, dan setelah komunikasi ke penjual emng niatnya mau nipu uang saya ga dikembalikan, coba minta bantuin shopee smpe udh laporin toko nya tp gaada tanggepan dari pihak shopee, pihak shopee tidak mau membantu atas permasalahan sya, jadi males belanja disini lagi:)",Negatif,lama oke aja belanja sini smpe satu alami kendala jual sengaja ngirim barang ga lengkap pdhl uang udh tf ga sengaja klik pesan selesai akhir dana serah jual komunikasi jual emng niat mau nipu uang ga kembali coba minta bantuin shopee smpe udh laporin toko nya tp gaada tanggepan pihak shopee pihak shopee mau bantu atas masalah sya jadi males belanja sini
lebih mudah belanja tanpa ribet,Positif,lebih mudah belanja ribet
shoppe is the best,Positif,shoppe is the best
sangat membantu pengetahuan saya4,Positif,sangat bantu tahu
Aplikasi sangat membantu,Positif,aplikasi sangat bantu
ok bgt,Positif,bgt
bagus,Positif,bagus
lumayan bagus lah jawaban ku singkat padat tapi benar,Positif,lumayan bagus lah jawab ku singkat padat benar
sangat bgus bngett,Positif,sangat bgus bngett
sangat bagus onek,Positif,sangat bagus onek
bagussss,Positif,bagussss
sfopee bagus toko tokonya sangat jujur dikirim sesuai dg yg dipesan saya tidak pernah kecewa dan sangat membantu,Positif,sfopee bagus toko toko sangat jujur kirim sesuai dg yg pes pernah kecewa sangat bantu
"sangat mengecewakan !!! akun penjual di batasi karena menjual barang yang tidak diperbolehkan , padahal baru pertama kali melakukan kesalahan karena belum tau perihal peraturan tersebut ,diminta buat surat pernyataan dan sudah dibuat tapi tidak ada perubahan. akun pembeli juga kena imbasnya Spinjam dan Paylater tidak bisa digunakan juga. tidak ada peneguran keras seperti jika mengulangi lagi baru di batasi tapi baru sekali langsung di batasi. pelayanan sangat menurun dibandingkan dulu",Negatif,sangat kecewa akun jual batas jual barang boleh padahal baru pertama kali laku salah tau perihal atur sebut minta buat surat nyata buat ubah akun beli kena imbas spinjam paylater guna tegur keras ulang baru batas baru sekali langsung batas layan sangat turun banding dulu
bagus,Positif,bagus
"belanja cerdas, akurat dan memuaskan",Positif,belanja cerdas akurat muas
"selaluu yg terbaik,, terimakasih shopee.. terimaksih Abang kurirrr🙏🙏",Positif,selaluu yg baik terimakasih shopee terimaksih abang kurirrr
the best pokoknya shopee,Positif,the best pokok shopee
puas blja disini 👍👍,Positif,puas blja sini
setiap kali saya pesan menggunakan shopeepay dan spaylater pasti pesanan saya tidak pernah diantar ataupun dichat... baru kali ini diginiin 😤😠,Negatif,kali pesan guna shopeepay spaylater pesan pernah antar atau dichat baru kali diginiin
cara belanja praktis tinggal pencet hp,Positif,cara belanja praktis tinggal pencet hp
terbaik pelayanan cepat,Positif,baik layan cepat
sangaaatt membantuu bermanfaat utk smua²nya sy tdk pernah psn kemana² always shopee,Positif,sangaaatt membantuu manfaat utk smuanya sy tdk pernah psn always shopee
mantap,Positif,mantap
sangat bagus dan membantu,Positif,sangat bagus bantu
mudah di gunakan. terpercaya,Positif,mudah guna percaya
bagus banget sii bikin ketagihan wkwk,Positif,bagus banget sii bikin tagih wkwk
bagus sanga baik,Positif,bagus sanga baik
belanja di shopee sangat lah puas ....,Positif,belanja shopee sangat lah puas
sangat suka,Positif,sangat suka
pelayanan sangat memuaskan..,Positif,layan sangat muas
jelek,Negatif,jelek
mksih shopi,Positif,mksih shopi
bagus,Positif,bagus
untuk pengembalian barang dan dana gak terlalu akurat punyaku udah tak kembalikan barangnya yang gak sesuai tapi ditolak,Negatif,kembali barang dana gak terlalu akurat punya udah tak kembali barang gak sesuai tolak
top abis,Positif,top abis
brgnya bgs dan cpt smp,Positif,brgnya bgs cpt smp
layanan nya cepat 🥰kurir nya ramah terimakasih 🙏,Positif,layan nya cepat kurir nya ramah terimakasih
"Setelah di Update Shopee versi terbaru lebih cepat, seneng belanja di Shopee ada Gratis Ongkir 👍👍👍",Positif,update shopee versi baru lebih cepat neng belanja shopee gratis ongkir
shopee sangat bagus sekali,Positif,shopee sangat bagus sekali
mantap,Positif,mantap
shoppe tolong dong ini kenapa shoppe ku melakukan foto otomatis dari tadi pagi sampai malam tolong diurus dong bug atau emang ada oknum yang menyalah gunakannya,Positif,shoppe dong shoppe ku laku foto otomatis tadi pagi malam urus dong bug emang oknum salah guna
mantappp,Positif,mantappp
sangat puas,Positif,sangat puas
ok bagus sangat membantu untuk belanja online,Positif,bagus sangat bantu belanja online
top MarkotooooP,Positif,top markotoooop
good,Positif,good
suka sekaliii,Positif,suka sekaliii
mantap 👍,Positif,mantap
goodjob,Positif,goodjob
shopee merupakan aplikasi yg lebih baik !,Positif,shopee rupa aplikasi yg lebih baik
kenapa klw di apdet ngk bisa,Negatif,klw apdet ngk
krang,Negatif,krang
bagus,Positif,bagus
lebih banyak barang yang bagus ya!,Positif,lebih banyak barang bagus
"SPX knp ampas banget sih? berkali2 pesanan dibatalkan krna paket hilang. belum lagi saat barang sudah di agen terdekat, tapi kurir tunda2 buat antar ke alamat. jelek parah pelayanannya",Negatif,spx knp ampas banget sih kali pesan batal krna paket hilang barang agen dekat kurir tunda buat antar alamat jelek parah layan
Shopee sangat membantu sekali,Positif,shopee sangat bantu sekali
saya ga bisa transaksi . saya juga ga bisa kirim uang dari shopeepay,Negatif,ga transaksi ga kirim uang shopeepay
cepat pengirimannya,Positif,cepat kirim
saya sangat suka dgn shopee cepat dan tepat,Positif,sangat suka dgn shopee cepat tepat
shopee is the best,Positif,shopee is the best
respon cepat🚀,Positif,respon cepat
sangat baik good luck,Positif,sangat baik good luck
sangat memuaskan,Positif,sangat muas
sampai saat ini belanja di shopee belum ada yg mengecewakan,Positif,belanja shopee yg kecewa
"kesel, gabisa verifikasi wajah, cape",Negatif,kesel gabisa verifikasi wajah cape
skrng gajelas Shopee pengiriman nya lambat trus suka ditunda mulu 😤😤😤,Negatif,skrng gajelas shopee kirim nya lambat trus suka tunda mulu
"mantap, sangat berguna",Positif,mantap sangat guna
sangat dipercaya,Positif,sangat percaya
aplikasi sangat keren...pokoknya wajib kiranya di download sobat,Positif,aplikasi sangat kerenpokoknya wajib kira download sobat
bagus,Positif,bagus
👍👍,Positif,
"Mudah, sangat membantu",Positif,mudah sangat bantu
Sangat bagus,Positif,sangat bagus
"Promo gratis ongkir ga ada auto uninstall ga guna ,boros kuota banget, parah flash sale mobil cuma hoax OMON omon nipu",Negatif,promo gratis ongkir ga auto uninstall ga boros kuota banget parah flash sale mobil cuma hoax omon omon nipu
shope mantap,Positif,shope mantap
baguss,Positif,baguss
mantap,Positif,mantap
good,Positif,good
puas dengan segala belanjaan semuanya saya suka saya sangat puas barang terjamin bermutu,Positif,puas segala belanja semua suka sangat puas barang jamin mutu
"sangat membantu saya untuk mencari apa yang mau saya beli, terima kasih shopee",Positif,sangat bantu cari apa mau beli terima kasih shopee
belanja diecast semoga makin banyak diskon diecast nya AMIN 🙏,Positif,belanja diecast moga makin banyak diskon diecast nya amin
"Setidaknya, saya dapat rezeki dari sini",Positif,rezeki sini
terima kasih shope seslalu .menjadi andalan sya dan pengiriman cepat 👍👍👍,Positif,terima kasih shope seslalu jadi andal sya kirim cepat
shopee👍🏻👍🏻,Positif,shopee
untuk saat ini pokonya yg paling the best smoga kedepanya banyak diskon menarik,Positif,poko yg paling the best smoga depa banyak diskon tarik
mantappp,Positif,mantappp
Pokoknya Shoope The Best dalam memenuhi kebutuhan kami. Bisa kredit dgn mudah tanpa ribet 🫰,Positif,pokok shoope the best penuh butuh kredit dgn mudah ribet
mantap,Positif,mantap
"mantap barang nya ,sesuai sama harga nya ,",Positif,mantap barang nya sesuai sama harga nya
manntap,Positif,manntap
mantab,Positif,mantab
bagus barang sesuai ekspektasi tapi sayang yang sampai tujuan lama,Positif,bagus barang sesuai ekspektasi sayang tuju lama
makasih selama ini telah menemani,Positif,makasih lama tani
"Bagus pelayanan sellernya, gercep. Harga murah, ada gratis ongkir. Terimakasih ada layanan COD juga.",Positif,bagus layan sellernya gercep harga murah gratis ongkir terimakasih layan cod
shopee sangat bagus untuk berbelanja dan juga mendapat kan vocer biar dapat potongan harga!!,Positif,shopee sangat bagus belanja dapat kan vocer biar potong harga
Alhamdulillah hirobil alam min saya bisa belanja online ada ya,Positif,alhamdulillah hirobil alam min belanja online
bagus,Positif,bagus
oke banget,Positif,oke banget
gjls sistem shope pay ny,Negatif,gjls sistem shope pay ny
i like,Positif,i like
AKUN TIBA TIBA KELAUR DI MASUKIN SANDI SALAH TERUS PADAHAL SANDINYA BENER SAMPE UJUNG UJUNGNYA AKUN DI BLOKIRRRR ADA SALDO 200K ILANG DI KORUPSI SHOPEE !!!!!,Negatif,akun tiba tiba laur masukin sandi salah terus padahal sandi bener sampe ujung ujung akun blokirrrr saldo k ilang korupsi shopee
sangat baik sekali belanja online tidak ribet,Positif,sangat baik sekali belanja online ribet
"ku uninstall soalnya iklan dimana-mana pas nonton film iklan selalu masuk ke toko yang ada di Shopee tolong perbaiki lagi regulasi nya 🙏, sangat menggangu",Negatif,ku uninstall soal iklan dimanamana pas nonton film iklan selalu masuk toko shopee baik regulasi nya sangat menggangu
sangat membantu dalam order,Positif,sangat bantu order
Alhamdulillah semenjak ada shopee belanja online lebih mudah dan muraah banyak promonya banyak coin foucer gratiisnya. thanks shopee semoga sukses terus yaa,Positif,alhamdulillah semenjak shopee belanja online lebih mudah muraah banyak promonya banyak coin foucer gratiisnya thanks shopee moga sukses terus yaa
memuaskan belanja jadi mudah,Positif,muas belanja jadi mudah
bagus keren apk ny,Positif,bagus keren apk ny
belanja online praktis,Positif,belanja online praktis
SIIIP,Positif,siiip
cukup baik,Positif,cukup baik
very god,Positif,very god
"Shopee sangat memuaskan konsumen, selalu langganan kesini kalau beli produk online 😍",Positif,shopee sangat muas konsumen selalu langgan kesini kalau beli produk online
sangat bagus,Positif,sangat bagus
pake shopee pembayaran mudah aman & amanah terimakasih,Positif,pake shopee bayar mudah aman amanah terimakasih
bagus 🤩👍,Positif,bagus
"pesanannya cepat,harganya hemat, kurirnya mantap,tapi ada satu yg kurang,diskonnya kurang gede xixixi canda om shopee pokonya the best dehh..... mantap 👍👍👍",Positif,pesan cepatharganya hemat kurir mantaptapi satu yg kurangdiskonnya kurang gede xixixi canda om shopee poko the best dehh mantap
pelayanan oke 👍👍👍,Positif,layan oke
penjualan sangat membantu usaha dagang pemula,Positif,jual sangat bantu usaha dagang mula
ok,Positif,
saya sangat puas belanja dishopee,Positif,sangat puas belanja dishopee
"sejak shopee pake expedisi sendiri ya Allah lambatttttttt betul bisa 10 hari pdhl deket tpi 10 hari bener² sekarang turun bgt performa kalian, makin lama tuh harusnya makin bagus bukan makin ancur mana semua di naikin biaya²nya tpi pengiriman lama bgt tolong lah kyk gt bagus skrang knp makin ancur ga costumer ga pejual jdi males tiap pengiriman selalu lama",Negatif,sejak shopee pake expedisi sendiri allah lambatttttttt betul hari pdhl deket tpi hari bener sekarang turun bgt performa kalian makin lama tuh harus makin bagus bukan makin ancur mana semua naikin biaya tpi kirim lama bgt lah kyk gt bagus skrang knp makin ancur ga costumer ga jual jdi males tiap kirim selalu lama
"Sudah banyak peningkatan pelayanan dishopee skrg, mdh2n kedepannya lebih baik lagi dan makin mengedepankan kepuasan konsumen.",Positif,banyak tingkat layan dishopee skrg mdhn depan lebih baik makin depan puas konsumen
80% puas,Positif,puas
baik cara cod lagi gimana iya fitur cod saya ngak bisa,Positif,baik cara cod gimana iya fitur cod ngak
ok mantap,Positif,mantap
Tolong di atur Cod nya bayar di tempat dong,Positif,atur cod nya bayar tempat dong
sangat penting,Positif,sangat penting
jujur sangat menyukai shopee.mudah amanah,Positif,jujur sangat suka shopeemudah amanah
top,Positif,top
sangat memuaskn,Positif,sangat memuaskn
mantap,Positif,mantap
pkoneee mntapp poolll,Positif,pkoneee mntapp poolll
barang nya bagus dan aplikasi nay ramah,Positif,barang nya bagus aplikasi nay ramah
bagus,Positif,bagus
Belanja di shopee memang ok,Positif,belanja shopee memang
"shopee ini sangat2 membantu aq bgt , di saat aq lg punya baby jd gak harus keluar rumah malah sdh smpe didepan rumah yg di beli , makasih shopee lancar trss",Positif,shopee sangat bantu aq bgt aq lg punya baby jd gak keluar rumah malah sdh smpe depan rumah yg beli makasih shopee lancar trss
