full_text,kategori
"HAL YG GAK GUE SUKA DARI SHOPEE SEKARANG ADALAH SETIAP PERTAMA BUKA SHOPEE PASTI LANGSUNG KE SHOPEE LIVE, GANGGU BANGET",Negatif
Setelah di update malah ga jelas...,Positif
Saat mau membayar harus melebihi saldo harga misalnya harga barang 200 saldo kita 150 bayar pesanan 130 dengan diskon free ongkir tidak bisa membayar karena saldo kita 150 harus melebihi harga barang 200 ribet mau top up lagi mana top up tidak gratis! Mohon di sesuaikan biar gampang transaksinyaa terima kasih,Negatif
ok,Positif
Baik,Negatif
"dah berkali2 blanja memuaskan bgt, dr yg ori smp yg KW gampang cari produk tp kdg ga sesuai dgn gbr.nya tp sejauh ini okelah... senang bgt blnja di shopee, tingkatkn pelayanannya dan smakin murah berkualitas jg mudah... sukses trus shopee Tp kok lama2 jdi *LEMOOOOOTTTTT** klo liat gbr balik lg ke semula... Hadeeuuh, aplikasi nya makin berattt",Positif
"Aman & amanah, 👍👍👍",Negatif
muraaaah,Positif
"akun saya hilang lalu tidak bisa menerima kode otp kembali🥲 "" hp keriset""",Positif
mantap,Positif
Menggaggu permainan iklannya,Positif
sangat bagus sekali,Positif
bagus,Positif
Saya suka berbelanja di shopee,Positif
sangat membantu,Positif
mantul,Positif
aplikasi yang sangat membantu dan cocok buat beli barang yang tidak ada di toko konvensional,Positif
"sangat bagus, dan terpercaya 🥰",Positif
mantappp,Positif
agak lama barangnya datang,Positif
amazing,Positif
pengiriman telat,Negatif
T. O. P,Positif
lebih mudah belanja lewat shopee. 🙏🙏🙏trimakasih Shopee... semoga kaya selalu👍👍👍,Positif
ok,Positif
Keren banget,Positif
bagus,Positif
shoppe is the best sangat amanah terima kasih shoppe lope lope lope,Positif
smg selalu amanah dapat dipercaya,Positif
"Kenapa yah apk shopee skrg jd berat, mau buka loading lama sekali, padahal sinyal bagus,, dulu gk kyk gini sblm saya update,,",Positif
alhmdllah toko2ny sllu amanah,Positif
bagus aja,Positif
rekomendasi,Positif
bagus si tapi saya pernah di tipu,Positif
👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,Positif
sll tpt wkt pengiriman y dan barang sll sesuai pesanan,Positif
shopee memberikan kepuasan tersendiri..aku bisa belanja tanpa cape..dan sangat membantu dlm usaha jualan aku..makasih,Positif
bagus,Positif
bagus recommend soalnya pas beli cooler hp trnyata real dong👍👍👍👍👍🔥🔥🔥🔥🔥🔥,Positif
sangat membantu lopyu pkoknya,Positif
"asli nyesel beli kuota di shopee bapuk parah sinyal nya masa udh beli banyak dan mahal masa setiap malam sinyal nya jelek bgt hilang""an jadi GK bisa buat maen game dll",Negatif
"berguna banget sii buat beli beli di online cepat murah,tapi bulan berarti murahan ya",Positif
tiap buka shopee selalu muncul video gak nyaman banget. tolong beritahu saya bagaimana cara setting supaya gak muncul vidio..,Negatif
sangat baik,Positif
saya senang mengunakan Shopee dari pada app yang lain tapi sayangnya sekarang agak susah mencari pengiriman yang bisa kirim ke Sulawesi utara semenjak udah nga ada j&t express,Negatif
spx kamprett paket lama dikirimnya. balikin lg JNT!,Negatif
bagus,Positif
Oke lah,Positif
Good,Positif
mantab,Positif
oke.. bagus,Positif
buruk auto uninstal,Negatif
"ngelek, berat, gaada barang yang aku cariapdahalepngen , mahal aku liat produk yang sama lebih murah yang satunya mahal, ngelek, 😡🤬😡🤬😡🤬😡🤬😡🤬😡",Negatif
cocok,Positif
"Sanggat membantu bagget untuk diri saya ,,yang super sibuk ,,makasih shoppy 9,9",Positif
empat dula aja Iyah nanti kutambah trimakasih,Positif
pesen makanan. datang nya sampah. nga bisa di kembali kan. kenapa? takut Shopee rugi kah? penipuan ini. parah,Negatif
sangat membantu kebutuhan hidup jaman sekarang asli sangat lengkap di aplikasi ini,Positif
sopi bagus2,Positif
promo muarah meriah,Positif
karna tidak sesuai,Negatif
Pokoknya bintang 5,Positif
"benerin lah kocak Shopee food nge lag banget anj, kesel gw",Negatif
empat saja dulu..😅,Positif
Bagus sih.. tapi ambil terlalu banyak data.,Positif
bagus,Positif
sdh langganan semua ada di shopee sangat membantu untuk saya,Positif
"beli kuota 4x tdk pernah masuk,, padahal saldo udah berkurang, dan laporan ke cs nya bilang mau ngasih kabar lgi lewat email tapi nyatanya tdk sama sekali. kecewa sama pelayanan nya. ! tolong perbaiki !!!!",Negatif
lemot busuk,Negatif
pengiriman cepat dan tepat waktu,Positif
bagus sekali,Positif
cara pembelian segala macam produk barang yang modern,Positif
bagus serbaguna,Positif
pengalaman belanja yang memuaskan,Positif
bagus,Positif
aplikasi belanja terbaik,Positif
cukup ok,Positif
mantap,Positif
ebbew,Positif
"Aplikasinya sudah bagus, akan tetapi lebih bagus lagi jika ada fitur pencarian barang dikeranjang belanja agar memudahkan saat mau chekout barang yang benar benar di inginkan",Positif
"sekedar saran kalo pesan obat""an baik herbal dan lain"" mohon d prioritaskan... pengiriman nya d percepat",Positif
sangat bagus,Positif
Alhamdulillah barang2 yg Saya pesan selalu memuaskan TDK bikin kecewa👍👌,Positif
"aplikasinya bagus, memudahkan untuk berbelanja, banyak gratis ongkir juga, mantap",Positif
Sangat membantu,Positif
cantik🥰,Positif
keren,Positif
oke,Positif
"kok tiba' saldo shoppe pay berkurang, padahal tidak co untuk apa'",Negatif
bagus kok apk nya,Positif
terpercaya,Positif
"Alhamdulillah, okey, sip👍",Positif
belanja dgn mudah dan gratis onkir,Positif
Sangat membantu,Positif
Jooooooz,Positif
apk yg sngt bgus,Positif
bagus,Positif
koin gak bisa di simpen lama2,Positif
seneng belanja di shopee barangnya lumayan sesuai harga puas pokoknya,Positif
"sangat puas,barang yg di pesan super gesit & penuh pengawasan,trmksh untuk shopee",Positif
mudah dan cepat dlm order dan berbelanja,Positif
"aplikasi belanja murah dan banyak diskon, sekalipun beberapa barang tidak sesuai deskripsi",Positif
ini katanya pelayanan pioritas cara kerja buruk barang yang tidak sesuai di retur di kembalikan ke penjual kenapa yang di ACC pihak penjual saya kecewa atas pelayanan pioritas buruk tidak profesional saya pengguna shopee 10 tahun kecewa. BINTANG 1 BURUK,Negatif
amanah,Positif
barang bagus minesnya pengiriman membutuhkan waktu..,Positif
"gw buka shopee buat belanja bukan buat nonton video, kenapa setiap buka apl otomatisnya buka shopee live? ganggu banget, mana tambah berat apl nya",Negatif
suka sekali belanja di shopee,Positif
sangat bagus,Positif
"barang sesuai pesanan,, pengiriman tepat waktu",Positif
the best,Positif
tingkatkan promo menarik nya,Positif
nice,Positif
bagus,Positif
Amanah,Positif
no komrn,Positif
mantap,Positif
saya suka,Positif
okk siippp,Positif
mantap Poko nya,Positif
sangat membantu pembayaran,Positif
aku sangat menyukai aplikasi ini,Positif
aku sangat puas dgn shopee pengiriman sangat cepat,Positif
"lebih hemat dan praktis, ngga usah ribet"" cari"" toko",Positif
baik,Positif
sangat murah dan kurir y ramah trimakasih shopee,Positif
bagus,Positif
toko tdk ada keraguan amanah,Positif
aplikasi sangat membantu semua orang,Positif
cepat sampai nya,Positif
selalu mmbrikan pelayanan terbaik,Positif
belanja hemat juga ada banyak pilihan.,Positif
mempermudah dalam urusan belanja dll,Positif
baik,Positif
"banyak pembeli membuat pesanan fiktif dan dengan konyol nya berani mengulang karna ga ada lagi fitur blokir kadang ngembaliin barang seenaknya tanpa alasan dan video,, kalo ada barang hilang dijalan mending diganti sesuai nominal barang kadang lepas tangan aja.. balikin fitur yang dulu dong jangan nyusahin penjual",Negatif
produknya murah dan bagus2 selalu di kasih gratis ongkir dan potongan harga terimakasih lancar selalu,Positif
spaylater sekarang banyak teleponnya.. pagi siang sore mlm pdhl blm lewat jatuh temponya.. dlu ga kaya gini perasaan..,Negatif
tolong kasih fitur hapus riwayat pembelian,Positif
"kenapa selalu lambat saat buka buka shopee, masalahnya dimana?",Positif
respon admin baik dalam penyelesaian masalah👍,Positif
mantap,Positif
bagus,Positif
MAHAL.TIDAK TEPAT WAKTU/LAMBAT.BANYAK BARANG PALSU. JANGAN PAKE SHOPE DEH KALAU ENGGAK MAU KECEWA!,Negatif
keren bgt buat developer shoppe nya,Positif
tolong lah Shopee foodbya di cepetin njir kelamaan,Negatif
membantu,Positif
Terima kasih shopee bisa dipercaya dan tanggung jawab sangat membatu sekali,Positif
Esti,Positif
bagus buat belanja online,Positif
"respon cepat, ramah dan pengiriman sangat baik",Positif
sangat bagus,Positif
mantap coy,Positif
dibanyakin gratis ongkirnya...!!!,Positif
aplikasi yang membantu,Positif
Apk bagus aQ suka mantaaap lah,Positif
mantappp ..,Positif
mantap belanja di Shopee.... well,Positif
ok,Positif
sukses selalu buat Shopi gak kecewa belanja di sini👍👍,Positif
mantul,Positif
pokok e josssss,Positif
semenjak tidak kerja sama dengan J&T pengiriman lama banget,Negatif
mantap,Positif
shopee sangat membantu dan terpercaya... mantap.👍,Positif
coba coba dulu,Positif
kren,Positif
"sepertinya perlu kebijakan yang lebih baik lagi terkait shopee live. karena seringnya, produk yang ada di live tidak sesuai dengan yang dikirim",Positif
Shopee ini sangat bagus dan terjangkau harganya,Positif
banyak gratong nya enak ehehe,Positif
ok bagus bisa ngebantu kalau lagi di butuhin...,Positif
suka belanja di shopee.semoga amanah tinggal pakai,Positif
"pinjaman s pinjam nya di tambahin lagi ya, biar lebih tambah semangat pake Shopee",Positif
Sangat mmbntu,Positif
Perbaiki dulu apk nya baru jualan👊👊,Positif
"barang cepat sampai ,...",Positif
sangat puas,Positif
"lumayan , dari pada jalan keluar",Positif
untuk aplikasi shopee 👍🏻👍🏻,Positif
sangat puas,Positif
"saya baru menggunakan shopee,tp saya selalu puas dg barang yg saya order Krn sesuai dengan gambar,kurir pun ramah",Positif
top lah,Positif
sangat membantu,Positif
shopee is the best..,Positif
ok,Positif
suka belanja disini ongkirnya bisa dikondisikan,Positif
"sangat....sangat buruk kurirnya,pas masih ada J&T 3 hari sampai,sekarang pake SPX 7 hari baru sampai,mengecewakan....!!! Semua juga ngeluh seperti itu...",Negatif
sippp,Positif
buruk,Negatif
begitu masuk aplikasi langsung ke video live dan tutup aplikasipun tetap bersuara. sangat mengganggu,Negatif
Sangat bagus,Positif
bagus aplikasi nya sesuai,Positif
"opsi kalo lagi males belanja ke luar sama sellernya rata"" amanah",Positif
mantap,Positif
bagus,Positif
mantap dan terpercaya,Positif
sangat membantu,Positif
Sangat memuaskab,Positif
sangat murah meriahhhh,Positif
sangat bagus,Positif
"sejak JnT tidak mendukung pengiriman shopee, sekarang jadi lama dalam pengiriman. jadi malas belanja di shopee lagi.",Negatif
memudahkan jual beli,Positif
꧁ツᴱˣXz‿メＬＵX亗u176 Lkズ父╰☯乂Farzz愛ᴹᴿ,Positif
Bibit sdh sampek Bagus dbonusin satu..trims Bonus nya...🙏 cm Kurir tdk jujur...mslh Pembayaran...lbih dari yg tertra di Shopee nya...cm ya sdh lah...tuk pljaran kdpan...🤣🤣🤣,Positif
bagus cokk,Positif
senang berlangganan dengan shopee mantapp cepat dan tanggap,Positif
lumayan cocok sejauh ini,Positif
is the best..👍👍👍👍👍,Positif
sangat puas..,Positif
Pembelian/pemesanan tepat waktu,Positif
excellent...,Positif
bagus,Positif
lumayan bagus.,Positif
Baguss bangett,Positif
sngt membantu.aplikasi yg cukup baik,Positif
belanja di shopee mantap,Positif
pesanan amanah sesuai dengan harga...,Positif
gacorr,Positif
Tidak ribet,Positif
sangat bersemangat.. 👍👍👍👍👍👍👍,Positif
luar biasa Joss tingkatkan kecepatan dlm pengirimannya .,Positif
mantap,Positif
tidak pernah kecewa,Positif
Terima kasih shoppe . love you,Positif
Apik sip joz mantep,Positif
keren... tapi akhir2 ini kurang nyaman karena CO selalu dibatalkan,Positif
the best platform,Positif
selama ini baik. tpi limit tidak bertambah tambah padahal TDK pernah telat pembayaran.,Positif
ok banget,Positif
baik,Positif
sandat bagus,Positif
saya sangat menyukai shopee,Positif
"saya sudah hapus apk shopee dari hp saya..pelayanan shopee buruk,pengalaman saya pada pengembalian dana kompensasi Rp.25.000 yg dijanjikan paling lama 1x24 jam hingga pada saat ini tidak ada jawaban yg pasti,saya Uda chat dan tlpon cs shopee jawabannya tetap sama masih dalam tahap pengecekan...Rp.25.000 Uda kayak Rpm250 juta aja..tim shopee lambat dalam penangan...sampah",Negatif
barang yg dibutuhkan disini lengkap,Positif
"saya kecewa sama pengiriman paket shopee agak lama ga sesuai estimasi, waktu pembelian paket estimasi tiba tanggal 25-04-2025 ini makain tambah lagi tanggal tiba 28-04-2025, kecewa bangat sama pengiriman paket nya. jadi makin lama lagi estimasi nya",Negatif
aplikasi ny baguss👍👍👍,Positif
seru belanja disini karna banyak promo dan gratis ongkir,Positif
udah 6 kalu transaksi belum ada kekecewaan . semoga kedepan semakin jaya . 💪🏻👍,Positif
sangat membantu,Positif
👍,Positif
"Susah nyari barang di sekitar Sumsel, kebanyakan dari pulau Jawa.. saya sudah filter pencarian barang (hanya Sumsel) tetapi pencarian teratas mengarah ke toko dari pulau Jawa semua... Gratis ongkir, prett..",Negatif
"tiap buka aplikasinya selalu ke video/live, optimalisasi ampas kaya my telkom tapi lebih parah.",Negatif
"kenapa shopee pinjam sekarang ribet banget ya tanggal jatuh tempo gak jadi satu aja di awal bulan semua, kalo berdasarkan sama tanggal peminjaman jadi ribet kadang ada yang suka kelewatan. dibuat jadi satu aja supaya gampang ngatur keuangan nasabah peminjamnya. sering ada kelewatan yang belum dibayar malah jadi telat terus kena denda... bikin repot",Negatif
pesanan oke sesuai banget,Positif
mantap,Positif
oke,Positif
"Sayang di ket barang sdh sampe di lokasi, tp baru di anter 2 hariNya padahal barang sy sngt urgen mau di pake",Positif
"belanja di shopee, mendapat banyak kemudahan , tokonya jg ramah, pokoknya nyaman lah",Positif
Shopee is the best...,Positif
"selalu amanah,...mempermudah belanja...",Positif
mantap,Positif
semakin suka sama shoope karna banyak diskonnya,Positif
saya minta toko yg amanah saya sering mendapatkan kekecewaan mohon pengertiannya,Positif
"kaa aku penjual di Shopee tolong dong jnt masukin lagi ke Shopee, soalnya ekspedisi di lokasi saya hanya jnt. lainnya jauh2 diluar kabupaten 😭",Positif
mantap,Positif
"harga murah, pengiriman cepat",Positif
Saldo shopeepay saya ga masuk masuk. Laporan cuma disuruh nunggu.,Negatif
selalu puas belanja disini,Positif
mantap..sukses selalu tetap jaga kepercayaan👍,Positif
pelayanan buruk,Negatif
bagus,Positif
sangat membantu,Positif
Tebar terus discon👍👍👍,Positif
"aplikasi bagus, cuma bermasalah di kurir. selalu begitu... pernah COD ku di blokir, itu gara² kurir... kadang kurir menghubungi waktu mau solat magrib..",Positif
memudahkan berbelanja untuk orang yg kurang waktu untuk keluar rumah,Positif
bagus aplikasi nya mantap,Positif
good,Positif
Nice banget .. !!! I Like shoppe,Positif
tlong no kurir di cantumin jdi pket salh orang bisa dihubungi . pdahl uda ada biaya jln nelpon seluler ga ga mw mlh pket di balikin ke penjual,Positif
mabtap,Positif
Bagus Semoga makin berkembang,Positif
"Sangat memuaskan banget belanja di shopee karena harga barangnya murah-murah dan barangnya ORI, pokoknya mantap de belanja di shopee., Semoga sekarang dan seterusnya shopee slalu berkembang terus dan makin bersahabat dengan harga dan pembeli TERIMAKASIH 🥰👍👍",Positif
Setelah bbrpa kali psan barang dari shopee alhamdulillah sangat memuaskn dengan harga yang terjangkau ! shopee semakin sukses,Positif
Bagus banyak bonus nya,Positif
oke...,Positif
cepat pengantaran,Positif
bermanfaat,Positif
selalu mantap danterpercaya👍👍,Positif
tolong jasa pengiriman J&T diadakan lagi!,Negatif
apk yang sangat bagus,Positif
"lu niak kaga bikin aplikasi gua udah platinum woy ,telat bayar berapa hari doang ,itu pun pertama kali gua dari awal bikin shopy ,gua GK bisa pke lagi tuh mau gua pake susah amat ,ini aplikasi parah banget pengen nyari untung nya doang ,dasar dongo , aplikasi dongo idiot ,nyusahin orang ,tolol sumpah Gedeg banget",Negatif
"iklan di tiktok nya ngeselin, geser dikit pindah aplikasi",Negatif
bagus sesuai dengan pesanaan,Positif
lumayan sih aplikasi nya memberi kemudahan,Negatif
membantu sekali dalam berbelanja online,Positif
bagus,Positif
aplikasi ya bagus,Positif
bagus,Positif
udah Yampe bahan Ok tokonya Amana Mantul Nn kasih mau order lagi,Positif
exp pake SPX malah tambah gak karu karuan.. kiriman sangat lama 4-5 hari itupun kadang belum sampai rumah dengan alasan alamat kurang lengkap atau orang tidak di rumah padahal alamat sama nomor telp sudah jelas sedangkan JNT 2-3 hari sampe,Negatif
Bisa kumpulin koin,Positif
mantap,Positif
suka,Positif
cepat dan tepat,Positif
Ok punya,Positif
menurut aku sih bagus bagus aja yah min selama aku pakai Shopee blm ada kendala sama sekali,Positif
kiriman cepat sampai,Positif
"kurirnya pada males kerja semua, barang tinggal antar ke alamat aja padahal, malah dikembalikan ke penjual, blog!!",Negatif
e commerce paling mantap,Positif
aku sangat suka shopee,Positif
sangat membantu,Positif
oke dan keren,Positif
bagus bangat untuk kita yang introvert kan jadi gampang buat belanja,Positif
senang belanja di toko orwn,Positif
tolong tambahkan fitur penghemat quota .,Positif
sangat berguna,Positif
mantap,Positif
Mantap Keren lah pokonya,Positif
mantap bonus koinnya guy,Positif
"cepat ,tepat waktu 👍",Positif
caranya simpel.. banyak gratis ongkir.. kalo rajin ngumpulin poin lumayan bisa buat ngurangin harga belanjaan.. barang dtaang ke rumah jd kita gak perlu ke pasar. kalo barang reject bisa dibalikin dengan tanpa biaya dan uang kita kembali sepenuhnya. harga barang murah cocok buat jual lagi di kampung.,Positif
ku hanya ingin mencoba belanja di aplikasi ini soalnya aku kena tipu di aplikasi lazada. apakah aplikasi ini tidak scam,Positif
Mntap,Positif
"baik, bagus.",Positif
mantap,Positif
Mudah dan praktis berbelanja dishopee,Positif
good,Positif
pas buka aplkasi langsung ke toko yang sedang live bukan ke beranda,Negatif
"sekarang pengiriman shopee melalui spx kok lama ya, padahal masih 1 kota lo, harusnya kan 2/3 hari an sudah sampai ke alamat tujuan",Negatif
sangat cocok,Positif
sukaa,Positif
"layanan toko sangat ramah,kualitas bagus dan standar harga sangat terjangkau,,",Positif
sangat membantu sekali,Positif
sangat membantu,Positif
Bagus,Positif
sangat mudah membeli barang yang sesuai kebutuhan,Positif
"tombol back di hp gak pake kalau mau kembali harus di aplikasi shopee di atas kiri , bikin ribet. trus yang bikin game bubke sama candy di shopee mending mati aja orangnya game sampah",Negatif
aplikasi yg bagus,Positif
mantap,Positif
semoga lebih baik lagi kedepannya buat shopee,Positif
awsome,Positif
biaya ongkir kagak ngotak mahal,Negatif
"Untuk aplikasinya sudah bagus, saran saya jangan bkerjasama dgn ekspedisi yg tidak kompeten, misal anteraja, itu ekspedisi ga layak untuk diajak kerjasama, kurirnya bnyak yg tidak kompeten, terimakasih...",Positif
"shopee apaan dah. pembaruan, pas di buka langsung halaman video. ini hp jadi nge lag 😭 tolong ye. klo baru buka ya ke beranda aja.",Negatif
sangat puas dengan kiriman nya suami ku suka bnget tas nya langsung di pake 😁,Positif
bagus sekali,Positif
ya seperti mall kita ga perlu keluar rumah bisa sambil apapun sekalian sambil di kamar tidur.intinya mall ada di genggaman,Positif
"Aku suka belanja di shopee,,karena lebih praktis dan ekonomis apalagi aku sering banget dapet voucher dari shopee,, makasih shopee untuk voucher dan pengalamannya",Positif
"shopee apk yang sangat membantu,apalagi buat orang orang yang sibuk semangat terus yah",Positif
seneng bngt pokoknya belanja di shopee ...mempermudah bngt,Positif
"maaf. untuk menjaga prifasi seseorang. agar barang yg sudah pernah di beli, bisa di hapus dari daftar pesanan yg sudah selesai. soalnya gak semua barang yg di beli. itu untuk umum. terkadang untuk prifasi diri sendiri. mohon segera di tindaklanjuti👍",Positif
jozzz,Positif
sangat senang atas pelayanan dr shopee...dan sangat membantu,Positif
bahannya lmbut nyaman .,Positif
"banyak promonya,harga murah meriah....",Positif
aplikasi butut,Negatif
bagus bangettt aplikasinya saya suka aplikasi ini,Positif
mantappp,Positif
lama kirim nya. lama datang barang nya.,Negatif
"akun saya gak bisa buka opsi pengiriman.,semua cara sudah dicoba tp tetap bermasalah(blm ada solusi)",Negatif
"Sya pengguna yg udah bertahan tahun butuh apa di sini. Tapi kenapa Setelah update malah sering error aplikasinya?, mau co pesanan jadi susah, udah aplikasinya makin berat, makan banyak memori, banyak fitur yang ga begitu berguna juga. Klo masih begitu lama-lama pindah ke tt ini 🙄",Negatif
shopee. mantap 👍👍👍,Positif
membantu disaat situasi mager...,Positif
lumayan,Positif
Jos 👍👍👍👍👍,Positif
Belanja lebih mudah hemat waktu hemat biaya barang berkualitas pengiriman barang cepat barang lengkap sesuai dengan kebutuhan,Positif
selalu bagus dn tepat waktu,Positif
"Shoppe pinjam bunga nya tinggi gila riba makin kaya shoppe,paket lemot parah dri 08.57 baru dikrim sore jam 16 00",Negatif
shopee menurut saya sangat membantu karna dapat berbelanja sangat praktis dan fleksibel tidak perlu repot-repot lagi mencari barang dan shopee tidak pernah penipuan menurut saya shopee dapat membuat keuntungan dengan vhocer yang beragam dan dapat mendapatkan koin agr bisa berbelanja dengan harga terjangkau dan dapat Hemat produk sangat lengkap apapun yang dicari pasti ada cukup tingal klik tidak perlu repot-repot membawa belanjaan tidak perlu sampai kesana kesini untuk mencari barang barang,Positif
bagusgus,Positif
Mempermudah Belanja Online kita,Positif
Ga jelaa,Negatif
oke bisa membantu pesanan yang di butuhkan sesuai dengan yang di pesan,Positif
terbantu bngat,Positif
sangat memuaskan,Positif
sangat membantu kebutuhan aku dan keluargaku 👍👍👍,Positif
blanja disopi itu menyenangkan bisa beli apa saja yang aku inginkan,Positif
"iklan shopee dimana mana nyebelin, aku buka apk lain padahal sudah di keluarkan (x) tapi tetep diarahin ke playstore. jadi berulangkali harus buka apk dari awal, progressnya hilang, mana kdg bisa lemot gara gara iklan shopee. hmmm",Negatif
Satu-satunya market place nomor Wahid dan masih tetap yang terbaik,Positif
sangat menarik,Positif
