userName,score,at,full_text,kategori
Akhtar Siswanto,5,2025-05-02 05:17:02,"apk yangg paling aku sukaa, buat belanja online ⭐",Positif
Saudah Siti,5,2025-05-02 05:14:46,suka banget,Positif
Aman Rahman,5,2025-05-02 05:09:50,"saya senang skli aplikasi nya, sesuai permintaan ketika blnja. mkcih sukses sllu",Positif
Gadis Rahmahtiara,1,2025-05-02 05:05:25,mudah ngelag,Negatif
Hikmah Lestari,2,2025-05-02 04:57:15,sekarang promonya semakin sedikit. belum lagi biaya penanganan yang terus naik. kalau mau diskon lebih harus bayar shopee vip. terus apa gunanya jadi member platinum? gak diprioritasin sama sekali.,Negatif
Rehan Misbah,5,2025-05-02 04:54:17,baguss,Positif
Kurando totte,5,2025-05-02 04:49:31,"shopee spt kamus,cari apa aja hampir 100% ada,mmg market place yg jempolan,terimakasih",Positif
Sarmin Emin,5,2025-05-02 04:41:43,"ok sangat membantu,,",Positif
MOHAMMAD BAGUS KURNIAWAN,5,2025-05-02 04:37:07,😋,Positif
deri didik,5,2025-05-02 04:29:54,"sangat membantu, harganya juga lebih murah dari di toko",Positif
Winar Sih,5,2025-05-02 04:29:52,"sangat membantu ya, bisa juga buat belanja kebutuhan sehari hari.",Positif
Moh Bashori,5,2025-05-02 04:17:55,Min kok tumben ya gk bisa di Update. Padahal 2 kli Update. Biasa nya mudah banget Update nya. Dan udah di off pula hp nya. Kok blom bisa Update lgi,Positif
Krisna Suherman,5,2025-05-02 04:04:28,shopee emang kren,Positif
Rini Infinix,5,2025-05-02 03:49:41,aku suku,Positif
Febri Yanti,4,2025-05-02 03:48:22,"Senang belanja di shopee,karena shopee memberikan gratis ongkir Rp.0 & voucher diskon/cashback saat berbelanja. Hanya saja,saran saya sPinjam Shopee bunga nya jangan terlalu tinggi agar terjangkau oleh kalangan bawah yg sedang membutuhkan modal. & semoga ke depannya sPinjam shopee bisa menambahkan jangka waktu cicilan sampai 24 bulan 👍🏻 Untuk sementara aku kasih bintang 4 dulu ya untuk shopee 🤭🤭🤭 Jika nanti sPinjam shopee bunga nya sudah rendah & jangka waktunya 24 bulan,baru aku kasih 5 ⭐",Positif
Yuniar Andini,4,2025-05-02 03:42:53,kenapa ya shoppe letter ud di lunasi kok masih di bekukan ya,Positif
Yadi Fitriyadi,5,2025-05-02 03:41:59,barang yg di pesen sangat cepat datangnya,Positif
DEYAA MANDA,5,2025-05-02 03:37:30,bagus,Positif
IM Yusuf,1,2025-05-02 03:33:56,BANYAK SELLER PENIPU,Negatif
alan noval,1,2025-05-02 03:30:20,aplikasi taekk,Negatif
Tine Nana,3,2025-05-02 03:27:11,"Shopee Express lelet banget. Udah bener dulu pake J&T, malah sekarang dihapus buat reguler. Tolong dibenahi layanannya. Kalau begini terus, mending pindah belanja ke platform lain!",Netral
Wagiran Wagiran,5,2025-05-02 03:25:57,sangat baik👍,Positif
Rikal Hermawan,5,2025-05-02 03:21:19,selalu menjadi pilihan terbaik buat belanja online.,Positif
Rista Windiarti,5,2025-05-02 03:16:23,istimewa,Positif
fahrul ulum,4,2025-05-02 03:12:30,mantap,Positif
Va onti,5,2025-05-02 03:01:45,sangat bagusss,Positif
Birul Ifadah,5,2025-05-02 02:56:10,selalu menjadi yg terbaik,Positif
Yulia Nur,5,2025-05-02 02:53:04,alhamdulillah banyak yg ngebantu belanja di shopiy,Positif
NOVAL Bayu_Rahmadi15,3,2025-05-02 02:48:23,mau login kg bisa bisa dipersulit segala ada verifikasi wajah segala mending langsung bisa kg bisa,Netral
Gugun Distro Trusmi,1,2025-05-02 02:40:42,"SHOPEE SAYA DI BATASI DI BEKUAN, GARA GARA HAKI, PAYAH. SEENAKNYA MAIN MEMBEKUKAN , HARUSNYA TERTULIS JELAS DONG MEREK MANA AJA YANG MELANGGAR HAKI, SAYA ORANG AWAM KAN TIDAK TAU. KALAU MENURUT FIKIRAN SAYA KAN YANG DI HAPUS SHOPEE ITU YANG MELANGGAR MEREK ITU, DAN SAYA GA UPLOUD LAGI, KO MALAH KENA LAGI. GA JELAS BIAYA ADMIN PUN MAHAL BENER 14 % LEBIH MURAH TOKOPEDIA DAN LAZADA . MEMUTUSKAN SECARA SEPIHAK. BAHAYA TOKO UDAH GEDE GEDE TAPI MALAH DI BEKUKAN.",Negatif
Arif Rahman Sihombing,5,2025-05-02 02:39:29,⭐⭐⭐⭐⭐,Positif
septa rio,5,2025-05-02 02:37:09,oke banget,Positif
Rizky Akbar,2,2025-05-02 02:37:02,diskonnya ga bisa dpake kocak,Negatif
imam BhociL,5,2025-05-02 02:36:00,sangan membantu,Positif
Harisdan Gadja,5,2025-05-02 02:34:10,mantap..,Positif
Kijang Beturus,5,2025-05-02 02:33:17,aplikasi mantap belanja sambil tunggu waktu,Positif
grungriot,5,2025-05-02 02:25:52,good man....,Positif
Ardy Yanto,4,2025-05-02 02:15:41,ok baik,Positif
Ichot Aisyah,5,2025-05-02 02:15:39,selalu banyakin bonus2 nya ka makasih,Positif
sri maria,5,2025-05-02 02:07:15,"the best APL, mempermudah untuk kita yang sibuk kerja.good job to shoope",Positif
Sur Yana,5,2025-05-02 02:02:00,terbaik,Positif
Sapto Widodo,5,2025-05-02 02:00:41,siiip ga ada lawan,Positif
anas riset,5,2025-05-02 01:50:03,bgus,Positif
Made Sidarta,5,2025-05-02 01:46:57,bagus,Positif
Mhd Jefry bianto,3,2025-05-02 01:46:56,sejauh ini ok semoga,Netral
Humble Minois,1,2025-05-02 01:44:36,"kenapa selalu saat buka aplikasi itu langsung ke video pendeknya shopee sih, padahal pas mau buka mau cari barang yang mau dibeli eh yang duluan dilihat malah video pendek bukan beranda pencarian ini aneh banget, kalau bisa nonaktifkan yang ngebuka aplikasi langsung video pendek sih langsung ku matikan, tapi gw bingung banget malahan cara matikannya cari di YouTube gak ada.",Negatif
ikha sagindole,5,2025-05-02 01:42:17,"berbelanja di sini sangat bagus, cocok untuk apa yang kita perlukan.",Positif
Rio Hasibuan,5,2025-05-02 01:40:01,mantap,Positif
Mustofa Kamal Fasa,1,2025-05-02 01:24:22,"Apk sering nge freez, delay, error, macet gak jelas sinyal full",Negatif
Wiko Prayoga,1,2025-05-02 01:22:44,"pengirimannya superduper lambat bgt min, jalan kaki atau gimana ini ekspedisi nya? sekelas Shopee punya pengiriman kek gini? bukanya makin satset malah makin buat kecewa pelanggan 👎👎👎👎👎👎",Negatif
Andri Prayitno,1,2025-05-02 01:18:04,"Sekarang kalau buka aplikasi kadang langsung ke beranda, kadang langsung ke video, terimakasih.",Negatif
Ramli Simanungkalit,5,2025-05-02 01:08:45,membantu,Positif
REZA Algha,5,2025-05-02 01:08:40,"Mohon bantuannya pihak shopee ,saya kemaren beli produk digital lalu pilih voucher game freefire yang harga nominal 200.000 itu hadiah skin gray ninja bundle belum masuk masuk mohon bantuannya",Positif
Arifin Arifin,5,2025-05-02 01:06:54,Top markotop pokoknya dah,Positif
kuni kuni,1,2025-05-02 01:06:53,kebijakan shopee tambah ngawur. sekarang lebih memberatkan penjual,Negatif
Sena TV,5,2025-05-02 01:02:08,mudah sangat membantu,Positif
Faisal ical,5,2025-05-02 01:00:16,👍,Positif
Jaboeng,5,2025-05-02 00:59:16,membantu sekali paling suka fitur gofood,Positif
Bisma Wijaya,5,2025-05-02 00:58:33,Apk yang sangat bagus dan terjampin pemakaian nya,Positif
Hari Yanto,5,2025-05-02 00:49:45,sekarang semakin digemari oleh masyarakat Indonesia khususnya karena ongkir nya banyak bonus,Positif
Galuh Triani,2,2025-05-02 00:47:18,"ini kenapa ya, tiap buka aplikasi menu utamanya live, bikin tegang hp aja, kenapa ga menu home itu, udh di update ternyata masih keluar live",Negatif
Pardan Yudana,5,2025-05-02 00:44:19,sangat membantu👍👍👍👍👍,Positif
jks nusantara,5,2025-05-02 00:43:44,"banyak penjual yg tidak amanah,mestinya pihak penjual online apa pun mestinya yg jualan dimintai identitas diri lengkap KTP/KK + selfie muka & terpajang di toko mereka alamat & foto sesuai ID saat terdaftar,jika ada oknum Toko penipuan bisa ditindak lanjuti sampai ranah hukum bila perlu agar jera & sebaliknya bagi pelanggan juga sama jika toko sudah benar amanah dia ga banar di perlakukan hal yg sama agar adil. sekedar saran masukan untuk kenyamanan berbelanja online.",Positif
Imah Keisya,5,2025-05-02 00:42:57,Good,Positif
ghoni sasasport1,5,2025-05-02 00:42:25,aplikasi ini sangat berguna karna kita bisa berbelanja tanpa jauh-jauh ke tempat nya dan di aplikasi ini kita juga dapat voucher belanja gratis,Positif
Arisiska Arisiska,5,2025-05-02 00:39:42,menarik,Positif
Tatang Ueta27,5,2025-05-02 00:36:58,oke,Positif
Shakila Suci ramadhani,5,2025-05-02 00:35:14,ok,Positif
nirbita astagina27,5,2025-05-02 00:33:27,gooddddd...,Positif
Mukholip Zubaidi,5,2025-05-02 00:31:20,ok lebih maju tetap terjangkau,Positif
Arsal Asal,5,2025-05-02 00:28:07,sangat bermanfaat,Positif
Arif Maulana,1,2025-05-02 00:27:37,tolong dong aplikasi shopee warnanya ganti warna hijau.,Negatif
Ndrii Smurf,1,2025-05-02 00:26:52,gini amat! shopepay saya di hack orang lain saya tidak bisa masuk ke akun shopeepay saya! dan juga gaada respon! hadehh!!,Negatif
Yusron Mubarok,1,2025-05-02 00:24:01,"shopee langganan (vip) buruk, gk sengaja ke klik langsung pembayaran selesai. saldo langsung kepotong",Negatif
Yuni Safira,2,2025-05-02 00:21:57,Sering lemot,Negatif
Pirman Sahputra,5,2025-05-02 00:21:21,membantu,Positif
Nur Kromo,5,2025-05-02 00:20:40,mantabs,Positif
Ayu Lestari,1,2025-05-02 00:19:48,"tiap pesan makanan selalu double order dengan waktu yg gapake otak, merugikan driver merugikan customer cuma menguntukan elu doang makam duit banyak",Negatif
Pasti Kh,4,2025-05-02 00:18:58,"pay later terlalu pilih"" konsumen",Positif
Erik Adi permana,5,2025-05-02 00:18:08,Mantap,Positif
Fuzi Astuti,5,2025-05-02 00:18:07,sangat puas banget pakai shopee..trimakasih shopee😘,Positif
Beni Saputra,5,2025-05-02 00:17:44,mantap,Positif
Makarsa 01,5,2025-05-02 00:16:15,Shopee tempat akan belanja,Positif
Anto Berutuanto,5,2025-05-02 00:15:52,sopi oke aman dan terpercaya,Positif
Sholeh Nur Udin,5,2025-05-02 00:14:53,"Ulasan shopee harusnya ada Urutkan berdasarkan tanggal, jadi ada ulasan Terbaru / Terlama / Terpopuler, Karena ulasan dari 2 tahun lalu udah ga relevan sama kondisi produk sekarang.",Positif
DUNIA BETTA FISH,1,2025-05-02 00:14:05,gimana ini shopee paylater saya dibekukan nggak bisa digunakan untuk belanja,Negatif
Agus Prianto79,5,2025-05-02 00:12:58,"Jooss sukses selalu shoope , ongkir ringan, gratis ongkir sering kudapat mantap dah pokoknya",Positif
Heru New Sinta,5,2025-05-02 00:12:06,mantaplah pokonyama,Positif
Peter Parker,5,2025-05-02 00:09:15,shopee sangat membantu saya untuk berbelanja bahkan bisa lebih murah dengan diskon nya maka dari pada itu aku mau diskon nya di banyakin 🤭🤭,Positif
Rahmad Nurdin,4,2025-05-02 00:09:13,"Sukses selalu buat shopee Semoga lebih banyak lagi, seler"" yg amanah.",Positif
Stee Fanny,1,2025-05-02 00:06:42,"Beli pulsa/kuota bayar transfer BCA VA tp status pembayaran masih belum terverifikasi, lapor cs nunggu nya lama, pelayanan lama, masih harus buat laporan nunggu lagi sampai paling lambat 3 hari, bagus bukan makanan klo gx keburu BASI!!! LAMBAT!!! Orang isi pulsa/kuota butuh cepet ini malah jadi lambat dan ribet!!! Dan satu lagi CS Shopee nya gx nyambung lagi kasih infonya keliru, sangat mengecewakan!!!",Negatif
Tanta Marzuki,4,2025-05-02 00:05:07,Sedang dicoba .. lagi kirim saran kenapa aplikasi shopee tidak bisa di instal ulang ..,Positif
Imamul Muttaqin,5,2025-05-02 00:03:24,"teruntuk tokonya yang dapat orderan kalau bungkus barang mbekya di kasih kardus yang baik,agar pesanan gak pada penyok atau rusak bos",Positif
Bambang Utoyo,5,2025-05-02 00:03:01,tepat waktu,Positif
donny suprihadi,5,2025-05-01 23:57:17,aman semuaaaaa klu urusan sama shopee,Positif
Mdk Wpro,5,2025-05-01 23:54:23,shoppe gratis ongkir,Positif
Gaza _Aldo,1,2025-05-01 23:53:20,Lelet pengiriman ny trus kupon diskon ny ga bisa di gunakan ke produk yang lain kurirnya tidak kompeten dan tidak ada konfirmasi ke orng yang memesan,Negatif
Bapak Tikus,1,2025-05-01 23:48:18,"aplikasi shop sesat, mempersulit pengembalian barang,, moga customer pada pindah ke oLshop lain",Negatif
akhmad nuril anwar,5,2025-05-01 23:41:26,baguss,Positif
Hany Darmawan,5,2025-05-01 23:38:31,"aplikasi bagus sebenarnya, tetapi kenapa setelah di update kok makin berat & lemot ya. tolong segera di perbaiki.",Positif
Rullyans Bintang,5,2025-05-01 23:36:08,kerennn 😁😁😁😁,Positif
eggy hartanto,1,2025-05-01 23:35:28,"jualan bukannya untung malah buntung barang ilang duit ga dpet pembeli curang di biarin ,penjual di rugiin diem aja...padahal potongannya besar klw jualan di shopee bukannya bersikap adil/fer malah lebih memihak ke pembeli...saya nobatkan nih aplikasi maling mau ngmbil keuntungan sepihak doang...cs nya pun bodoh²",Negatif
Ucil,1,2025-05-01 23:35:11,"Hoee ini shopee apa tiktok??? setiap buka langsung video, bukannya halaman beranda. sudah dibersihkan cache tetap aja gtu. maksa banget harus liat video..",Negatif
Isti Qomah,5,2025-05-01 23:33:59,shoope emang bagus cepat dlm pengiriman kurirnya baik pokoknya the best dach,Positif
Dian Ardiansyah,5,2025-05-01 23:29:48,sangat mantap apk ny bagus 👍,Positif
Dedi Faisal,5,2025-05-01 23:29:25,puas dong,Positif
Siti Aminah,5,2025-05-01 23:27:41,belanja mudah dan lengkap hanya di shopee..praktis dan gak ribet harga terjangkau,Positif
sugeng sugeng,5,2025-05-01 23:27:18,wehku lima bintang dulu,Positif
Rina Fitriani,5,2025-05-01 23:26:11,selalu puas,Positif
Yoki saputra,4,2025-05-01 23:22:45,sopy yg terbaik,Positif
wawan fauzan,1,2025-05-01 23:20:23,"bayar PDAM gagal, saldo kena potong minta saldo balik sampe sekarang blom di respon",Negatif
POROSS KEPPO,5,2025-05-01 23:20:08,gari gabus BSB B22 Ok.,Positif
Joko Tingkir,5,2025-05-01 23:19:05,"sangat kami percaya cepat tepat bagus barang"" nya",Positif
abdul Latif,4,2025-05-01 23:18:18,terlalu banyak ongkir yg tdk jelas yg hrsnya urusan 0wner atau reseler.. seperti biaya penanganan dll...,Positif
Agus Rochadi,1,2025-05-01 23:18:18,setelah berganti2 akun dan layanan Apk Shopee tetap seperti ini. semakin yakin bintang 1 untuk layanan apk ini,Negatif
Azee Mella,5,2025-05-01 23:17:21,sangattttt bagusss,Positif
Addictive Gameplay,1,2025-05-01 23:15:36,"kenapa kalau baru buka shopee langsung ke live, sumpah ganggu banget",Negatif
Kusnadi,5,2025-05-01 23:12:20,bagus banget semua toko terpercaya,Positif
Ryaa1201,5,2025-05-01 23:11:51,bagus tapi muat ulang trus,Positif
Ulwanul Falahuddin,5,2025-05-01 23:11:24,aplikasi yg sangat membantu untuk barang-barang yang sulit di akses. kredibilitas juga cukup bagus. keren. terus berkenbang.,Positif
Aminatuz Zuhriah,1,2025-05-01 23:10:56,"sebenarnya Belanja pake Apk ni bagus Cuman saya kecewa, saya gk bisa CO pakai vocer 20%, kata nya terdeteksi melakukan aktivitas tidak wajar. Kata nya saya memiliki banyak akun aktif, padahal saya tdk pernah Login/Logout aplikasi. Kecuali saya selalu Login/Logout aplikasi, mgkin bisa di curigakan saya punya bnyk akun.",Negatif
Budi Wansyah,5,2025-05-01 23:09:27,buat khusus pelanggan shope melalui instan expres sameday dengan aplikasi selain shope tolong y klo mau order Liat yang kalian order sampai di mana driver a nnty di saat driver sampai tujuan di Tlp g di angkat chat g diblas kasian driver nunggu Berjam jam g di angkat mentang mentang kalian it raja Se enak a ja memperlakukan driver masa bodoh dan giliran kaya gth driver di salahin komen a macam macam dan banyak alasan ini it padahal driver sesuai SOP malah kalian yang bikin matiin rezeki driver,Positif
Putra Darsa,5,2025-05-01 23:08:36,bagus kok,Positif
Akli Mama,5,2025-05-01 23:08:35,saya sudah sangat lama pakai belanja di shopee dan sudah berbagai nomor. jika bisa setiap kali mau lihat produk jangan keluar video. jujur saya suka shoppe yang dulu waktu mau lihat produk keluar nya foto dan tidak ada macet macet jaringan. saya minta maaf mungkin membuat tersinggung dan kesalahan apa yang saya sampaikan.,Positif
Didy Mamesah,5,2025-05-01 23:08:32,"sangat suka shopee,tapi sejak pengiriman kurir J&T tdk ada lagi udah males pake ini aplikasi lagi",Positif
k GAMING,5,2025-05-01 23:08:05,mantap,Positif
Sab’in sapta Putra,1,2025-05-01 23:07:46,apk yang membuat hp sering panas dan ketika mau scroll² suka ngeleg gak jelas👎👎👎👎👎,Negatif
muhammad sahrul,3,2025-05-01 23:07:32,"shopee ini bagus ,cuma pengiriman lama, estimasi nya terlalu lama, 3 sampe 5 hari, pengeriman dari jakarta ke tangerang ,kalo di apk sebelah pengiriman nya itu cepet, 1 hari bisa sampe,paling lambat 3 hari, lah shope banyak transit nya,paket di bawa muter muter, 5 sampe 1 minggu baru sampe, mohon perbaiki jasa pengiriman nya. dan 1 lagi, klo seseorang beli produk 2 paket berbeda toko dan satu tujuan atau satu rumah, jngan beda beda kurir lah,setiap saya pesen paket dishope kurir nya selalubeda",Netral
Fina Melati,5,2025-05-01 23:07:18,praktis,Positif
Maesa Maesanurmila,1,2025-05-01 23:06:22,lemot stiap buka shoope donag ini hp lgsung mati,Negatif
SUMARGIATI,5,2025-05-01 23:03:55,aplikasi ini sangat bermanfaat,Positif
Hansawen,2,2025-05-01 23:01:04,"buka shopee langsung dapat live. sangat menganggu, tidak suka",Negatif
Husni Fikri,5,2025-05-01 23:00:23,pelayanan cepat,Positif
Rezky Eky,5,2025-05-01 22:59:23,mantapp,Positif
Aro Ro,4,2025-05-01 22:56:18,shopee ku tidak bisa cod,Positif
Fuat Yakin,2,2025-05-01 22:55:45,"setelah di update kog mlh sering ngelag"" saya kira hpnya ternyata emng aplikasi nya🥴",Negatif
sur yanto,1,2025-05-01 22:55:28,jasa kirim sekarang lambat...paket sehari tidak bergerak ditahan di jasa kirim.dulu dari jauh 2-3hari sampai.lah ini masih 1 propinsi aja 3 hari gak sampai,Negatif
A TIONG,5,2025-05-01 22:54:57,mantap🤣,Positif
apang setiawan,5,2025-05-01 22:53:31,kenapa notifikasi pembayaran sering tidak muncul,Positif
nur iman santoso,1,2025-05-01 22:52:45,"makin lama makin berat aj ini Shopee, makin sering update semakin berat file sampai bengkak dah seperti file apk gajah saja 🥵🥵🥵🥵🥵🥵🥵",Negatif
Wahyudi Alamsyah,5,2025-05-01 22:51:19,"Tidak merasa was-was dalam belanja on-line, walau dibayar didepan",Positif
Pengguna Google,5,2025-05-01 22:50:06,aplikasi bagus berguna buat sehari2 transaksi blanja dll,Positif
mama rina,3,2025-05-01 22:48:31,"sudah capek warrr discount , pas dpt voucher,, kita senang terus mlh kena batal otomatis sama Shopee.... 😌😌🥲🥲",Netral
Anisa,4,2025-05-01 22:46:55,Harga nyah terjaaukau ..cuman satu yang kurang masih shopy pinjam nyah belum di terima terus,Positif
Wira Puspita Diharja Arsyafani,1,2025-05-01 22:44:47,"saya mau bayar spaylater hari ini tapi tdk bisa, halaman spaylaternya loading terus padahal hari ini jatuh tempo tolong bantuan secepatnya",Negatif
rizki hidayat,5,2025-05-01 22:44:16,"tampilin dunk menu favorite di shopee pc gan,biar mudah kalau cek di hp capek scrool ke bawah,di aplikasi sebelah aja bisa .",Positif
Riri Suhadi,1,2025-05-01 22:44:10,Aplikasi ini Sangat2 mengganggu sekali saat mau Transaksi atau sedang transaksi atau sedang Berbelanja di Shopee karena selalu Lamaaaa Loading nya dan selalu minta Update setiap hari tolong di perbaiki agar kami nyaman dan tidak terganggu yg minta2 Update setiap hari,Negatif
Moch ainun Naim,1,2025-05-01 22:43:49,"tolong developer shoope , fitur pesanan selesai di hilangkan saja , karna pesanan masih terkirim tapi kalo kita tidak sengaja menekan nya pusing juga takut barang gak Sampek",Negatif
Wawang Prengky,5,2025-05-01 22:43:30,"olshop paling rekomended, pengiriman selalu tepat waktu, dan walaupun telat ada kompensasi 10rb",Positif
nico adaran,5,2025-05-01 22:41:48,Shopee .. terfavorit and the best.,Positif
Supriyatin 13,5,2025-05-01 22:40:51,mantaaappp,Positif
Imam Hadi,5,2025-05-01 22:38:35,"puas dan terus tingkatkan pelayanan,nomor 1 konsumen tidak kecewa",Positif
